date,product_id,product_name,return_case_count,qualified_return_count,qualified_return_rate,simple_repeat_rate,return_loop_rate,avg_return_days
2026-04-17,1000000027,마스코바도 설기,1,0,0,1,0,88
2026-04-17,1000000042,약식,4,0,0,1,0,85
2026-04-17,1000000043,모듬영양찰떡,1,0,0,1,0,86
2026-04-17,1000000044,고구마찰떡,1,0,0,1,0,83
2026-04-17,1000000045,완두시루떡,2,0,0,1,0,90
2026-04-17,1000000063,쑥이티,1,0,0,1,0,85
2026-04-17,1000000064,2색 이티,5,0,0,1,0,84
2026-04-17,1000000083,백설기,1,1,1,0,1,83
2026-04-17,1000000087,백리향 1단 (1호 2호 3호),2,0,0,1,0,87
2026-04-17,1000000093,매화 2송이 1호,1,0,0,1,0,88
2026-04-17,1000000111,매화 3송이 3호,1,0,0,1,0,90
