order_id,order_date,purchase_amount,utm_source,utm_medium,utm_campaign,session_count,valid_session_count,mx_channel_id,mx_platform
2604172254294447,2026-04-17,55000,(direct),(none),(not set),235,136,567375433033637313,GODOMALL5
2604172203424046,2026-04-17,167000,(direct),(none),(direct),235,136,567375433033637313,GODOMALL5
2604171823394345,2026-04-17,113000,naver,brandsearch,naver_bs,566,507,567375433033637313,GODOMALL5
2604171748191584,2026-04-17,237000,naver,brandsearch,naver_bs,566,507,567375433033637313,GODOMALL5
2604171745448013,2026-04-17,189000,naver,brandsearch,naver_bs,566,507,567375433033637313,GODOMALL5
2604171418574211,2026-04-17,165000,naver,brandsearch,naver_bs,566,507,567375433033637313,GODOMALL5
2604171407015610,2026-04-17,182000,naver,brandsearch,naver_bs,566,507,567375433033637313,GODOMALL5
2604171235132079,2026-04-17,58500,(direct),(none),(direct),235,136,567375433033637313,GODOMALL5
2604171225450917,2026-04-17,94000,naver,brandsearch,naver_bs,566,507,567375433033637313,GODOMALL5
2604171048243045,2026-04-17,166000,naver,brandsearch,naver_bs,566,507,567375433033637313,GODOMALL5
2604171045164764,2026-04-17,227800,naver,brandsearch,naver_bs,566,507,567375433033637313,GODOMALL5
2604171032396603,2026-04-17,147000,naver,brandsearch,naver_bs,566,507,567375433033637313,GODOMALL5
2604171029560872,2026-04-17,177700,naver,brandsearch,naver_bs,566,507,567375433033637313,GODOMALL5
2604171025430160,2026-04-17,81800,naver,brandsearch,naver_bs,566,507,567375433033637313,GODOMALL5
2604170959292829,2026-04-17,148000,naver,brandsearch,naver_bs,566,507,567375433033637313,GODOMALL5
2604170957009168,2026-04-17,50000,(direct),(none),(not set),235,136,567375433033637313,GODOMALL5
2604170934462997,2026-04-17,89500,naver,brandsearch,naver_bs,566,507,567375433033637313,GODOMALL5
2604170758454203,2026-04-16,412000,(direct),(none),(not set),235,136,567375433033637313,GODOMALL5
2604170743585232,2026-04-16,138000,naver,brandsearch,naver_bs,566,507,567375433033637313,GODOMALL5
2604170736262221,2026-04-16,49000,naver,brandsearch,naver_bs,566,507,567375433033637313,GODOMALL5
