product_id,revenue_today,revenue_prev_day,revenue_7d,revenue_30d,revenue_90d
1000000064,600500,519000,4489500,21091000,83763000
1000000094,390000,0,901200,5053500,26388700
1000000088,270000,0,672000,7768000,25122000
1000000093,264600,625500,3913900,26995400,84897100
1000000044,199000,275000,772000,1402000,3596000
1000000063,181500,0,518000,3272500,10601500
1000000113,167700,0,969200,5131000,24077500
1000000087,133000,205000,1038000,4855000,30755000
1000000112,129000,387000,1099500,5680200,20720600
1000000085,117500,0,879000,4118500,15632500
1000000045,99000,50000,399000,2256000,7188000
1000000086,87000,0,341000,2662000,7843000
1000000033,49000,0,49000,119000,1064000
1000000062,26500,0,131500,2167500,11524500
1000000042,0,100000,373000,1678500,4889500
1000000043,0,0,100000,768000,3675000
1000000074,0,0,13000,52000,52000
1000000083,0,0,19000,602000,1052000
1000000090,0,0,283000,2218000,8367000
1000000092,0,0,0,2673000,7924000
