as_of_date,role_state_primary,role_label,product_id,product_name,image_url,detail_url,revenue,revenue_share_in_brand,revenue_share_in_role,role_rank
2026-04-17,entry,첫구매 유도,1000000064,2색 이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000064,600500,0.22123567770695943,0.6941394058490348,1
2026-04-17,entry,첫구매 유도,1000000093,매화 2송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/list/1000000093_list_057.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000093,264600,0.09748369745422393,0.3058605941509652,2
2026-04-17,expansion,단골 유도,1000000094,매화 3송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000094,390000,0.14368345429760895,0.45112781954887216,1
2026-04-17,expansion,단골 유도,1000000088,백리향 2단 (1호 2호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/list/1000000088_list_033.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000088,270000,0.09947316066757543,0.31231925968768076,2
2026-04-17,expansion,단골 유도,1000000085,십리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/list/1000000085_list_069.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000085,117500,0.04328924584607449,0.1359167148640833,3
2026-04-17,expansion,단골 유도,1000000086,십리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000086,87000,0.0320524628817743,0.1006362058993638,4
2026-04-17,return,반복 구매,1000000044,고구마찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000044/image/list/1000000044_list_088.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000044,199000,0.07331540360313893,0.41501564129301355,1
2026-04-17,return,반복 구매,1000000063,쑥이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000063/image/list/1000000063_list_055.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000063,181500,0.06686806911542571,0.37851929092805003,2
2026-04-17,return,반복 구매,1000000045,완두시루떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000045/image/list/1000000045_list_095.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000045,99000,0.03647349224477766,0.2064650677789364,3
2026-04-17,return,반복 구매,1000000083,백설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/list/1000000083_list_054.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000083,0,0,0,4
2026-04-17,convergence,구매 집중,1000000087,백리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/list/1000000087_list_067.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000087,133000,0.04899974210662049,0.8338557993730408,1
2026-04-17,convergence,구매 집중,1000000062,흰이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000062/image/list/1000000062_list_062.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000062,26500,0.009763106509965737,0.16614420062695925,2
2026-04-17,convergence,구매 집중,1000000043,모듬영양찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000043/image/list/1000000043_list_012.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000043,0,0,0,3
2026-04-17,convergence,구매 집중,1000000042,약식,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000042/image/list/1000000042_list_03.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000042,0,0,0,4
2026-04-17,,상태 미확인,1000000113,매화 5송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/list/1000000113_list_070.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000113,167700,0.06178388534797185,0.48510269019380964,1
2026-04-17,,상태 미확인,1000000112,매화 5송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000112,129000,0.047526065652286044,0.37315591553369976,2
