as_of_date,window_days,role_state_primary,role_label,product_id,product_name,image_url,detail_url,window_revenue,share_in_role,share_in_brand_window,role_rank,revenue_source
2026-04-17,7,entry,첫구매 유도,1000000064,2색 이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000064,4489500,0.5342480424590047,0.2646985991226829,1,window_metric_latest_snapshot
2026-04-17,7,entry,첫구매 유도,1000000093,매화 2송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/list/1000000093_list_057.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000093,3913900,0.4657519575409953,0.23076152068298666,2,window_metric_latest_snapshot
2026-04-17,7,expansion,단골 유도,1000000094,매화 3송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000094,901200,0.3226406988400401,0.05313428611857931,1,window_metric_latest_snapshot
2026-04-17,7,expansion,단골 유도,1000000085,십리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/list/1000000085_list_069.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000085,879000,0.3146928254331949,0.051825385595019105,2,window_metric_latest_snapshot
2026-04-17,7,expansion,단골 유도,1000000088,백리향 2단 (1호 2호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/list/1000000088_list_033.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000088,672000,0.2405842760990978,0.0396207726050658,3,window_metric_latest_snapshot
2026-04-17,7,expansion,단골 유도,1000000086,십리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000086,341000,0.1220821996276672,0.020105183717749164,4,window_metric_latest_snapshot
2026-04-17,7,return,반복 구매,1000000044,고구마찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000044/image/list/1000000044_list_088.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000044,772000,0.4519906323185012,0.045516720909391066,1,window_metric_latest_snapshot
2026-04-17,7,return,반복 구매,1000000063,쑥이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000063/image/list/1000000063_list_055.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000063,518000,0.30327868852459017,0.030541012216404886,2,window_metric_latest_snapshot
2026-04-17,7,return,반복 구매,1000000045,완두시루떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000045/image/list/1000000045_list_095.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000045,399000,0.2336065573770492,0.02352483373425782,3,window_metric_latest_snapshot
2026-04-17,7,return,반복 구매,1000000083,백설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/list/1000000083_list_054.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000083,19000,0.011124121779859485,0.001120230177821801,4,window_metric_latest_snapshot
