period,role_state_primary,role_label,role_revenue,role_revenue_share,role_rank,as_of_date,support_window_days
daily,entry,첫구매 유도,865100,0.31871937516118337,1,2026-04-17,1
daily,expansion,단골 유도,864500,0.3184983236930332,2,2026-04-17,1
daily,return,반복 구매,479500,0.1766569649633423,3,2026-04-17,1
daily,,관측 상태 없음,345700,0.12736248756585491,4,2026-04-17,1
daily,convergence,구매 집중,159500,0.058762848616586226,5,2026-04-17,1
weekly,entry,첫구매 유도,8403400,0.49546011980566956,1,2026-04-17,7
weekly,expansion,단골 유도,2793200,0.16468562803641337,2,2026-04-17,7
weekly,,관측 상태 없음,2413700,0.142310504221499,3,2026-04-17,7
weekly,return,반복 구매,1708000,0.10070279703787557,4,2026-04-17,7
weekly,convergence,구매 집중,1642500,0.09684095089854253,5,2026-04-17,7
monthly,entry,첫구매 유도,48086400,0.478171416752268,1,2026-04-17,30
monthly,expansion,단골 유도,19602000,0.19492239201058836,2,2026-04-17,30
monthly,,관측 상태 없음,15873200,0.15784318502512354,3,2026-04-17,30
monthly,convergence,구매 집중,9469000,0.09415978624366193,4,2026-04-17,30
monthly,return,반복 구매,7532500,0.07490321996835818,5,2026-04-17,30
