product_id,product_name,product_name_source,image_url,detail_url,product_status,profile_role_primary,profile_role_secondary,profile_confidence,role_state_primary,role_state_confidence,pgm_observed_flag,role_state_source,role_history_mode,role_history_mode_label,role_history_warning_level,role_history_warning_title,role_history_warning_copy,revenue,order_count,quantity,revenue_share_in_brand_day,revenue_rank_in_brand_day,revenue_7d,revenue_30d,revenue_90d,revenue_day_over_day_change_rate,top_transition_target_id,top_transition_target_name,top_transition_rate,qualified_return_rate,return_loop_rate,simple_repeat_rate,as_of_date
1000000064,2색 이티,product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000064,selling,entry,convergence,0.4061890838206628,entry,0.4061890838206628,true,same_date_snapshot,same_date_observed,same-date observed,none,최근 확정일 역할 분해는 same-date 관측 기준입니다.,"기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 실매출 비교와 역할 분해를 같은 기간 창으로 함께 읽어도 됩니다.",600500,6,13,0.22123567770695943,1,4489500,21091000,83763000,0.15703275529865124,1000000064,2색 이티,0.08338332333533294,0,0,1,2026-04-17
1000000094,매화 3송이 1호,product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000094,selling,expansion,entry,0.3955437870846537,expansion,0.3955437870846537,true,same_date_snapshot,same_date_observed,same-date observed,none,최근 확정일 역할 분해는 same-date 관측 기준입니다.,"기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 실매출 비교와 역할 분해를 같은 기간 창으로 함께 읽어도 됩니다.",390000,2,50,0.14368345429760895,2,901200,5053500,26388700,,1000000094,매화 3송이 1호,0.0967741935483871,,,,2026-04-17
1000000088,백리향 2단 (1호 2호),product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/list/1000000088_list_033.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000088,selling,expansion,convergence,0.35446307100734803,expansion,0.35446307100734803,true,same_date_snapshot,same_date_observed,same-date observed,none,최근 확정일 역할 분해는 same-date 관측 기준입니다.,"기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 실매출 비교와 역할 분해를 같은 기간 창으로 함께 읽어도 됩니다.",270000,2,2,0.09947316066757543,3,672000,7768000,25122000,,1000000088,백리향 2단 (1호 2호),0.10256410256410256,,,,2026-04-17
1000000093,매화 2송이 1호,product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/list/1000000093_list_057.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000093,selling,entry,convergence,0.45706868623248337,entry,0.45706868623248337,true,same_date_snapshot,same_date_observed,same-date observed,none,최근 확정일 역할 분해는 same-date 관측 기준입니다.,"기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 실매출 비교와 역할 분해를 같은 기간 창으로 함께 읽어도 됩니다.",264600,2,49,0.09748369745422393,4,3913900,26995400,84897100,-0.576978417266187,1000000093,매화 2송이 1호,0.1076923076923077,0,0,1,2026-04-17
1000000044,고구마찰떡,product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000044/image/list/1000000044_list_088.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000044,selling,return,convergence,0.37911746541682656,return,0.37911746541682656,true,same_date_snapshot,same_date_observed,same-date observed,none,최근 확정일 역할 분해는 same-date 관측 기준입니다.,"기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 실매출 비교와 역할 분해를 같은 기간 창으로 함께 읽어도 됩니다.",199000,2,3,0.07331540360313893,5,772000,1402000,3596000,-0.27636363636363637,,,,0,0,1,2026-04-17
1000000063,쑥이티,product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000063/image/list/1000000063_list_055.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000063,selling,return,expansion,0.31837016134568713,return,0.31837016134568713,true,same_date_snapshot,same_date_observed,same-date observed,none,최근 확정일 역할 분해는 same-date 관측 기준입니다.,"기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 실매출 비교와 역할 분해를 같은 기간 창으로 함께 읽어도 됩니다.",181500,2,3,0.06686806911542571,6,518000,3272500,10601500,,,,,0,0,1,2026-04-17
1000000113,매화 5송이 3호,product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/list/1000000113_list_070.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000113,selling,프로필 정보 없음,,,관측 상태 없음,,false,blank,partial_same_date,partial same-date coverage,caution,"최근 확정일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.",167700,1,13,0.06178388534797185,7,969200,5131000,24077500,,1000000113,매화 5송이 3호,0.0784313725490196,,,,2026-04-17
1000000087,백리향 1단 (1호 2호 3호),product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/list/1000000087_list_067.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000087,selling,convergence,return,0.32118051979010037,convergence,0.32118051979010037,true,same_date_snapshot,same_date_observed,same-date observed,none,최근 확정일 역할 분해는 same-date 관측 기준입니다.,"기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 실매출 비교와 역할 분해를 같은 기간 창으로 함께 읽어도 됩니다.",133000,2,2,0.04899974210662049,8,1038000,4855000,30755000,-0.35121951219512193,1000000087,백리향 1단 (1호 2호 3호),0.06783369803063458,0,0,1,2026-04-17
1000000112,매화 5송이 2호,product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000112,selling,프로필 정보 없음,,,관측 상태 없음,,false,blank,partial_same_date,partial same-date coverage,caution,"최근 확정일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.",129000,1,10,0.047526065652286044,9,1099500,5680200,20720600,-0.6666666666666666,,,,,,,2026-04-17
1000000085,십리향 2단 (1호 2호 3호),product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/list/1000000085_list_069.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000085,selling,expansion,convergence,0.35088720690479075,expansion,0.35088720690479075,true,same_date_snapshot,same_date_observed,same-date observed,none,최근 확정일 역할 분해는 same-date 관측 기준입니다.,"기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 실매출 비교와 역할 분해를 같은 기간 창으로 함께 읽어도 됩니다.",117500,2,2,0.04328924584607449,10,879000,4118500,15632500,,,,,,,,2026-04-17
