rank,as_of_date,product_id,product_name,priority_level,priority_sort_score,revenue_change_rate_30d,revenue_reason,role_taxonomy,role_reason,role_evidence_status,brand_score_status,brand_score_reason,revenue_freshness_max_date,role_freshness_max_date
1,2026-04-18,1000000093,매화 2송이 1호,즉시 확인,1091750000,-0.2866270544347886,최근 30일 매출이 직전기간 대비 -28.7% 감소,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
2,2026-04-18,1000000111,매화 3송이 3호,즉시 확인,887390000,-0.4731863392919246,최근 30일 매출이 직전기간 대비 -47.3% 감소,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
3,2026-04-18,1000000094,매화 3송이 1호,즉시 확인,828940000,-0.6489208746140369,최근 30일 매출이 직전기간 대비 -64.9% 감소,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
4,2026-04-18,1000000113,매화 5송이 3호,즉시 확인,748880000,-0.614915332486933,최근 30일 매출이 직전기간 대비 -61.5% 감소,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
5,2026-04-18,1000000084,십리향 1단 (1호 2호 3호),즉시 확인,537100000,-0.7063880439095358,최근 30일 매출이 직전기간 대비 -70.6% 감소,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
6,2026-04-18,1000000091,일리향 2단 (1호 2호 3호),즉시 확인,162750000,-0.3280624294075367,최근 30일 매출이 직전기간 대비 -32.8% 감소,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
7,2026-04-18,1000000085,십리향 2단 (1호 2호 3호),즉시 확인,142300000,-0.26000933271115256,최근 30일 매출이 직전기간 대비 -26.0% 감소,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
8,2026-04-18,1000000090,일리향 1단 (1호 2호 3호),즉시 확인,96900000,-0.29602774274905425,최근 30일 매출이 직전기간 대비 -29.6% 감소,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
9,2026-04-18,1000000087,백리향 1단 (1호 2호 3호),주의 관찰,68100000,-0.11678445229681979,최근 30일 매출이 직전기간 대비 -11.7% 하락,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
10,2026-04-18,1000000112,매화 5송이 2호,주의 관찰,61560000,-0.11411929259834071,최근 30일 매출이 직전기간 대비 -11.4% 하락,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
11,2026-04-18,1000000064,2색 이티,정상 유지,49300000,-0.02302906048108327,최근 30일 매출이 직전기간 대비 -2.3% 유지 또는 개선,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
12,2026-04-18,1000000062,흰이티,주의 관찰,21700000,-0.08008130081300813,최근 30일 매출이 직전기간 대비 -8.0% 하락,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
13,2026-04-18,1000000042,약식,정상 유지,5950000,-0.02819709484477357,최근 30일 매출이 직전기간 대비 -2.8% 유지 또는 개선,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
14,2026-04-18,1000000063,쑥이티,정상 유지,-12250000,0.046935883811548,최근 30일 매출이 직전기간 대비 4.7% 유지 또는 개선,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
15,2026-04-18,1000000089,백리향 3단,정상 유지,-20000000,0.07177033492822966,최근 30일 매출이 직전기간 대비 7.2% 유지 또는 개선,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
16,2026-04-18,1000000086,십리향 3단,정상 유지,-41800000,0.18440327445066781,최근 30일 매출이 직전기간 대비 18.4% 유지 또는 개선,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
17,2026-04-18,1000000088,백리향 2단 (1호 2호),정상 유지,-59100000,0.08968810625279809,최근 30일 매출이 직전기간 대비 9.0% 유지 또는 개선,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
18,2026-04-18,1000000045,완두시루떡,정상 유지,-69850000,0.4747068676716918,최근 30일 매출이 직전기간 대비 47.5% 유지 또는 개선,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
19,2026-04-18,1000000110,매화 3송이 2호,정상 유지,-196610000,0.6593813607394308,최근 30일 매출이 직전기간 대비 65.9% 유지 또는 개선,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
20,2026-04-18,1000000108,매화 2송이 2호,정상 유지,-1155460000,0.7621125052720371,최근 30일 매출이 직전기간 대비 76.2% 유지 또는 개선,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00,available,limited,Brand Score limited,2026-04-18,2026-04-18
