as_of_date,product_id,product_name,product_image_url,priority_level,priority_sort_score,revenue_change_rate_30d,revenue_30d_compare_state,revenue_30d_compare_note,revenue_reason,role_taxonomy,role_reason,role_evidence_status,brand_score_status,brand_score_reason,revenue_freshness_max_date,role_freshness_max_date,brand_revenue_30d_current,brand_revenue_30d_previous,brand_revenue_30d_delta_rate
2026-04-18,1000000093,매화 2송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/list/1000000093_list_057.jpg,즉시 확인,1091750000,-0.2866270544347886,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -28.7%,첫구매기여,첫구매기여 기준 score 0.64,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000108,매화 2송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000108/image/list/1000000108_list_020.jpg,정상 유지,-1155460000,0.7621125052720371,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 76.2%,재구매확장기여,재구매확장기여 기준 score 0.29,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000064,2색 이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,정상 유지,49300000,-0.02302906048108327,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -2.3%,첫구매기여,첫구매기여 기준 score 1.00,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000111,매화 3송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000111/image/list/1000000111_list_056.jpg,즉시 확인,887390000,-0.4731863392919246,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -47.3%,첫구매기여,첫구매기여 기준 score 0.32,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000088,백리향 2단 (1호 2호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/list/1000000088_list_033.jpg,정상 유지,-59100000,0.08968810625279809,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 9.0%,재구매확장기여,재구매확장기여 기준 score 0.35,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000087,백리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/list/1000000087_list_067.jpg,주의 관찰,68100000,-0.11678445229681979,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -11.7%,반복구매기여,반복구매기여 기준 score 0.31,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000110,매화 3송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000110/image/list/1000000110_list_026.jpg,정상 유지,-196610000,0.6593813607394308,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 65.9%,재구매확장기여,재구매확장기여 기준 score 0.16,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000113,매화 5송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/list/1000000113_list_070.jpg,즉시 확인,748880000,-0.614915332486933,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -61.5%,재구매확장기여,재구매확장기여 기준 score 0.21,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000112,매화 5송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,주의 관찰,61560000,-0.11411929259834071,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -11.4%,반복구매기여,반복구매기여 기준 score 0.17,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000094,매화 3송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,즉시 확인,828940000,-0.6489208746140369,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -64.9%,재구매확장기여,재구매확장기여 기준 score 0.26,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
