as_of_date,product_id,product_name,product_image_url,revenue_today,order_count_today,cart_count_today,revenue_7d_current,revenue_7d_previous,revenue_7d_delta,revenue_7d_delta_rate,revenue_7d_compare_state,revenue_7d_compare_note,revenue_30d_current,revenue_30d_previous,revenue_30d_delta,revenue_30d_delta_rate,revenue_30d_compare_state,revenue_30d_compare_note,revenue_90d_current,revenue_90d_previous,revenue_90d_delta,revenue_90d_delta_rate,revenue_90d_compare_state,revenue_90d_compare_note
2026-04-18,1000000093,매화 2송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/list/1000000093_list_057.jpg,1058500,3,0,4972400,9917200,-4944800,-0.4986084781994918,available,직전 동일 길이 기간과 비교 가능합니다.,27097400,37984900,-10887500,-0.2866270544347886,available,직전 동일 길이 기간과 비교 가능합니다.,85302800,84965000,337800,0.003975754722532808,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000108,매화 2송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000108/image/list/1000000108_list_020.jpg,0,0,1,159000,1011900,-852900,-0.8428698487992885,available,직전 동일 길이 기간과 비교 가능합니다.,26739000,15174400,11564600,0.7621125052720371,available,직전 동일 길이 기간과 비교 가능합니다.,52730000,34535500,18194500,0.5268347063166886,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000064,2색 이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,261000,4,3,4697500,5491000,-793500,-0.14450919686760152,available,직전 동일 길이 기간과 비교 가능합니다.,20490500,20973500,-483000,-0.02302906048108327,available,직전 동일 길이 기간과 비교 가능합니다.,83683000,62902000,20781000,0.3303710533846301,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000111,매화 3송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000111/image/list/1000000111_list_056.jpg,200000,1,0,558500,3141800,-2583300,-0.8222356610860017,available,직전 동일 길이 기간과 비교 가능합니다.,9846200,18690100,-8843900,-0.4731863392919246,available,직전 동일 길이 기간과 비교 가능합니다.,46890900,60229200,-13338300,-0.22145902651869856,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000088,백리향 2단 (1호 2호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/list/1000000088_list_033.jpg,130000,1,0,667000,1568000,-901000,-0.5746173469387755,available,직전 동일 길이 기간과 비교 가능합니다.,7302000,6701000,601000,0.08968810625279809,available,직전 동일 길이 기간과 비교 가능합니다.,25252000,24532000,720000,0.029349421164193708,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000087,백리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/list/1000000087_list_067.jpg,144000,1,0,1113000,1435000,-322000,-0.22439024390243903,available,직전 동일 길이 기간과 비교 가능합니다.,4999000,5660000,-661000,-0.11678445229681979,available,직전 동일 길이 기간과 비교 가능합니다.,30834000,18672000,12162000,0.6513496143958869,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000110,매화 3송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000110/image/list/1000000110_list_026.jpg,117000,1,0,1217000,1970000,-753000,-0.3822335025380711,available,직전 동일 길이 기간과 비교 가능합니다.,4973000,2996900,1976100,0.6593813607394308,available,직전 동일 길이 기간과 비교 가능합니다.,9073100,11757000,-2683900,-0.22828102407076636,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000113,매화 5송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/list/1000000113_list_070.jpg,167700,1,0,969200,387000,582200,1.5043927648578812,available,직전 동일 길이 기간과 비교 가능합니다.,4671000,12129800,-7458800,-0.614915332486933,available,직전 동일 길이 기간과 비교 가능합니다.,24077500,23491900,585600,0.024927741051170828,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000112,매화 5송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,219300,1,0,1318800,687700,631100,0.917696670059619,available,직전 동일 길이 기간과 비교 가능합니다.,4623500,5219100,-595600,-0.11411929259834071,available,직전 동일 길이 기간과 비교 가능합니다.,20939900,23142000,-2202100,-0.0951559934318555,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000094,매화 3송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,390000,2,0,801100,627900,173200,0.27584010192705843,available,직전 동일 길이 기간과 비교 가능합니다.,4468500,12727900,-8259400,-0.6489208746140369,available,직전 동일 길이 기간과 비교 가능합니다.,26388700,30861300,-4472600,-0.14492584563838853,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000085,십리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/list/1000000085_list_069.jpg,57000,1,0,936000,1233500,-297500,-0.24118362383461694,available,직전 동일 길이 기간과 비교 가능합니다.,3964500,5357500,-1393000,-0.26000933271115256,available,직전 동일 길이 기간과 비교 가능합니다.,15533000,15066500,466500,0.030962731888627085,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000091,일리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000091/image/list/1000000091_list_092.jpg,30500,1,0,817500,521000,296500,0.5690978886756238,available,직전 동일 길이 기간과 비교 가능합니다.,3272000,4869500,-1597500,-0.3280624294075367,available,직전 동일 길이 기간과 비교 가능합니다.,10029000,30950000,-20921000,-0.6759612277867528,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000089,백리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000089/image/list/1000000089_list_027.jpg,382000,2,0,769000,0,769000,0,available,직전 동일 길이 기간과 비교 가능합니다.,3136000,2926000,210000,0.07177033492822966,available,직전 동일 길이 기간과 비교 가능합니다.,6062000,344000,5718000,16.622093023255815,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000063,쑥이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000063/image/list/1000000063_list_055.jpg,0,0,2,518000,878000,-360000,-0.41002277904328016,available,직전 동일 길이 기간과 비교 가능합니다.,2955500,2823000,132500,0.046935883811548,available,직전 동일 길이 기간과 비교 가능합니다.,10601500,9619500,982000,0.10208430791621186,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000086,십리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,87000,1,0,344500,666500,-322000,-0.4831207801950488,available,직전 동일 길이 기간과 비교 가능합니다.,2749000,2321000,428000,0.18440327445066781,available,직전 동일 길이 기간과 비교 가능합니다.,7849000,10155000,-2306000,-0.22708025603151158,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000062,흰이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000062/image/list/1000000062_list_062.jpg,335500,1,0,440500,183500,257000,1.4005449591280654,available,직전 동일 길이 기간과 비교 가능합니다.,2263000,2460000,-197000,-0.08008130081300813,available,직전 동일 길이 기간과 비교 가능합니다.,11860000,5235500,6624500,1.265304173431382,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000090,일리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/list/1000000090_list_073.jpg,28000,1,0,311000,845000,-534000,-0.6319526627218935,available,직전 동일 길이 기간과 비교 가능합니다.,2233000,3172000,-939000,-0.29602774274905425,available,직전 동일 길이 기간과 비교 가능합니다.,8395000,8970000,-575000,-0.0641025641025641,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000084,십리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000084/image/list/1000000084_list_028.jpg,123500,2,0,453500,124000,329500,2.657258064516129,available,직전 동일 길이 기간과 비교 가능합니다.,2220000,7561000,-5341000,-0.7063880439095358,available,직전 동일 길이 기간과 비교 가능합니다.,11533000,11846500,-313500,-0.026463512429831595,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000045,완두시루떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000045/image/list/1000000045_list_095.jpg,25000,1,1,424000,100000,324000,3.24,available,직전 동일 길이 기간과 비교 가능합니다.,2201000,1492500,708500,0.4747068676716918,available,직전 동일 길이 기간과 비교 가능합니다.,7193000,7772000,-579000,-0.0744981986618631,available,직전 동일 길이 기간과 비교 가능합니다.
2026-04-18,1000000042,약식,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000042/image/list/1000000042_list_03.jpg,50000,1,0,398000,373000,25000,0.06702412868632708,available,직전 동일 길이 기간과 비교 가능합니다.,1706000,1755500,-49500,-0.02819709484477357,available,직전 동일 길이 기간과 비교 가능합니다.,4939500,3318000,1621500,0.4886980108499096,available,직전 동일 길이 기간과 비교 가능합니다.
