as_of_date,window_key,window_days,period_label,product_id,product_name,product_image_url,revenue_segment,role_taxonomy,priority_level,brand_score_status
2026-04-18,1d,1,하루 기준,1000000093,매화 2송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/list/1000000093_list_057.jpg,증가,첫구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000093,매화 2송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/list/1000000093_list_057.jpg,감소,첫구매기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000093,매화 2송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/list/1000000093_list_057.jpg,감소,첫구매기여,즉시 확인,limited
2026-04-18,1d,1,하루 기준,1000000108,매화 2송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000108/image/list/1000000108_list_020.jpg,유지,재구매확장기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000108,매화 2송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000108/image/list/1000000108_list_020.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000108,매화 2송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000108/image/list/1000000108_list_020.jpg,증가,재구매확장기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000064,2색 이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,감소,첫구매기여,즉시 확인,limited
2026-04-18,7d,7,최근 7일,1000000064,2색 이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,감소,첫구매기여,주의 관찰,limited
2026-04-18,30d,30,최근 30일,1000000064,2색 이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,유지,첫구매기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000111,매화 3송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000111/image/list/1000000111_list_056.jpg,유지,첫구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000111,매화 3송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000111/image/list/1000000111_list_056.jpg,감소,첫구매기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000111,매화 3송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000111/image/list/1000000111_list_056.jpg,감소,첫구매기여,즉시 확인,limited
2026-04-18,1d,1,하루 기준,1000000088,백리향 2단 (1호 2호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/list/1000000088_list_033.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,7d,7,최근 7일,1000000088,백리향 2단 (1호 2호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/list/1000000088_list_033.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000088,백리향 2단 (1호 2호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/list/1000000088_list_033.jpg,증가,재구매확장기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000087,백리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/list/1000000087_list_067.jpg,증가,반복구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000087,백리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/list/1000000087_list_067.jpg,감소,반복구매기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000087,백리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/list/1000000087_list_067.jpg,감소,반복구매기여,주의 관찰,limited
2026-04-18,1d,1,하루 기준,1000000110,매화 3송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000110/image/list/1000000110_list_026.jpg,유지,재구매확장기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000110,매화 3송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000110/image/list/1000000110_list_026.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000110,매화 3송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000110/image/list/1000000110_list_026.jpg,증가,재구매확장기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000113,매화 5송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/list/1000000113_list_070.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,7d,7,최근 7일,1000000113,매화 5송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/list/1000000113_list_070.jpg,증가,재구매확장기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000113,매화 5송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/list/1000000113_list_070.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,1d,1,하루 기준,1000000112,매화 5송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,증가,반복구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000112,매화 5송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,증가,재구매확장기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000112,매화 5송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,감소,반복구매기여,주의 관찰,limited
2026-04-18,1d,1,하루 기준,1000000094,매화 3송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,7d,7,최근 7일,1000000094,매화 3송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,증가,재구매확장기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000094,매화 3송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,1d,1,하루 기준,1000000085,십리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/list/1000000085_list_069.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,7d,7,최근 7일,1000000085,십리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/list/1000000085_list_069.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000085,십리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/list/1000000085_list_069.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,1d,1,하루 기준,1000000091,일리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000091/image/list/1000000091_list_092.jpg,유지,재구매확장기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000091,일리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000091/image/list/1000000091_list_092.jpg,증가,재구매확장기여,정상 유지,limited
