dataset_key,filename,source_key,source_table,query_window_start,query_window_end,status,row_count,min_date,max_date,note
orders_header,orders_header.csv,core_order_header,silver_meta_order,2026-03-20,2026-04-18,blocked,0,,,PGM_OPS2_ROSETTA_BEARER_TOKEN이 없어 Rosetta 직접 조회를 실행하지 못했습니다.
order_lines,order_lines.csv,core_order_line,silver_meta_order_item,2026-03-20,2026-04-18,blocked,0,,,PGM_OPS2_ROSETTA_BEARER_TOKEN이 없어 Rosetta 직접 조회를 실행하지 못했습니다.
products,products.csv,core_product,silver_meta_product,2026-03-20,2026-04-18,blocked,0,,,PGM_OPS2_ROSETTA_BEARER_TOKEN이 없어 Rosetta 직접 조회를 실행하지 못했습니다.
order_utm,order_utm.csv,dma_order_utm,silver_order_with_utm,2026-03-20,2026-04-18,blocked,0,,,PGM_OPS2_ROSETTA_BEARER_TOKEN이 없어 Rosetta 직접 조회를 실행하지 못했습니다.
product_revenue_daily,product_revenue_daily.csv,dma_product_revenue_daily,silver_fact_product,2026-03-20,2026-04-18,blocked,0,,,PGM_OPS2_ROSETTA_BEARER_TOKEN이 없어 Rosetta 직접 조회를 실행하지 못했습니다.
pgm_scored,pgm_scored.csv,dma_pgm_scored,gold_pgm_scored,2026-03-20,2026-04-18,blocked,0,,,PGM_OPS2_ROSETTA_BEARER_TOKEN이 없어 Rosetta 직접 조회를 실행하지 못했습니다.
pgm_demand_signals,pgm_demand_signals.csv,dma_pgm_demand_signals,gold_pgm_product_demand_gravity,2026-03-20,2026-04-18,blocked,0,,,PGM_OPS2_ROSETTA_BEARER_TOKEN이 없어 Rosetta 직접 조회를 실행하지 못했습니다.
pgm_transition_edges,pgm_transition_edges.csv,dma_pgm_transition_edges,gold_pgm_product_transition_edge,2026-03-20,2026-04-18,blocked,0,,,PGM_OPS2_ROSETTA_BEARER_TOKEN이 없어 Rosetta 직접 조회를 실행하지 못했습니다.
pgm_return_loops,pgm_return_loops.csv,dma_pgm_return_loops,gold_pgm_return_gravity_loop_detail,2026-03-20,2026-04-18,blocked,0,,,PGM_OPS2_ROSETTA_BEARER_TOKEN이 없어 Rosetta 직접 조회를 실행하지 못했습니다.
pgm_basket_pairs,pgm_basket_pairs.csv,dma_pgm_basket_pairs,gold_pgm_basket_gravity_detail,2026-03-20,2026-04-18,blocked,0,,,PGM_OPS2_ROSETTA_BEARER_TOKEN이 없어 Rosetta 직접 조회를 실행하지 못했습니다.
brand_purchase_daily,brand_purchase_daily.csv,dma_brand_purchase_daily,gold_purchase_analysis_daily,2026-03-20,2026-04-18,blocked,0,,,PGM_OPS2_ROSETTA_BEARER_TOKEN이 없어 Rosetta 직접 조회를 실행하지 못했습니다.
brand_score_events,brand_score_events.csv,derived_brand_score_events,silver_meta_order_item(minimum_event_layer),2026-03-20,2026-04-18,blocked,0,,,PGM_OPS2_ROSETTA_BEARER_TOKEN이 없어 Rosetta 직접 조회를 실행하지 못했습니다.
