order_id,order_at,purchase_amount,utm_source,utm_medium,utm_campaign,session_count,valid_session_count,created_date,mx_channel_id,mx_platform
2603200942017448,2026-03-20 00:42:01.000 UTC,85000.000000,(direct),(none),(not set),306,179,2026-03-20,567375433033637313,GODOMALL5
2603201003482979,2026-03-20 01:03:48.000 UTC,199000.000000,naver,brandsearch,naver_bs,599,552,2026-03-20,567375433033637313,GODOMALL5
2603201029189270,2026-03-20 01:29:19.000 UTC,193000.000000,naver,brandsearch,naver_bs,599,552,2026-03-20,567375433033637313,GODOMALL5
2603201103244701,2026-03-20 02:03:24.000 UTC,66420.000000,naver,brandsearch,naver_bs,599,552,2026-03-20,567375433033637313,GODOMALL5
2603201253572814,2026-03-20 03:53:57.000 UTC,20000.000000,(direct),(none),(not set),306,179,2026-03-20,567375433033637313,GODOMALL5
2603201308071315,2026-03-20 04:08:07.000 UTC,176920.000000,(direct),(none),(direct),306,179,2026-03-20,567375433033637313,GODOMALL5
2603201317298376,2026-03-20 04:17:29.000 UTC,148000.000000,naver,organic,(organic),85,76,2026-03-20,567375433033637313,GODOMALL5
2603201328118047,2026-03-20 04:28:11.000 UTC,102000.000000,(direct),(none),(direct),306,179,2026-03-20,567375433033637313,GODOMALL5
2603201407074628,2026-03-20 05:07:07.000 UTC,126500.000000,(direct),(none),(direct),306,179,2026-03-20,567375433033637313,GODOMALL5
2603201419309799,2026-03-20 05:19:31.000 UTC,106100.000000,(direct),(none),(direct),306,179,2026-03-20,567375433033637313,GODOMALL5
2603201512358700,2026-03-20 06:12:35.000 UTC,43000.000000,naver,brandsearch,naver_bs,599,552,2026-03-20,567375433033637313,GODOMALL5
2603201523127451,2026-03-20 06:23:12.000 UTC,136000.000000,(direct),(none),(not set),306,179,2026-03-20,567375433033637313,GODOMALL5
2603201612320662,2026-03-20 07:12:32.000 UTC,194000.000000,naver,organic,(organic),85,76,2026-03-20,567375433033637313,GODOMALL5
2603201631447133,2026-03-20 07:31:44.000 UTC,479200.000000,google,organic,(organic),52,42,2026-03-20,567375433033637313,GODOMALL5
2603201718127024,2026-03-20 08:18:12.000 UTC,53000.000000,naver,brandsearch,naver_bs,599,552,2026-03-20,567375433033637313,GODOMALL5
2603202231518715,2026-03-20 13:31:51.000 UTC,66500.000000,naver,brandsearch,naver_bs,599,552,2026-03-20,567375433033637313,GODOMALL5
2603202234377126,2026-03-20 13:34:37.000 UTC,99500.000000,naver,brandsearch,naver_bs,599,552,2026-03-20,567375433033637313,GODOMALL5
2603202249318887,2026-03-20 13:49:31.000 UTC,272000.000000,naver,brandsearch,naver_bs,599,552,2026-03-20,567375433033637313,GODOMALL5
2603202254441868,2026-03-20 13:54:44.000 UTC,181000.000000,naver,brandsearch,naver_bs,599,552,2026-03-20,567375433033637313,GODOMALL5
2603202332467109,2026-03-20 14:32:46.000 UTC,46000.000000,,,,0,0,2026-03-20,567375433033637313,GODOMALL5
2603202338547830,2026-03-20 14:38:54.000 UTC,83000.000000,naver,brandsearch,naver_bs,599,552,2026-03-20,567375433033637313,GODOMALL5
2603210059218251,2026-03-20 15:59:21.000 UTC,101000.000000,naver,brandsearch,naver_bs,426,394,2026-03-21,567375433033637313,GODOMALL5
2603210913549172,2026-03-21 00:13:55.000 UTC,76000.000000,naver,brandsearch,naver_bs,426,394,2026-03-21,567375433033637313,GODOMALL5
2603210949357973,2026-03-21 00:49:35.000 UTC,122000.000000,(direct),(none),(direct),245,126,2026-03-21,567375433033637313,GODOMALL5
