date,i,j,co_order_cnt,rn
2026-04-06,1000000027,1000000028,1,12
2026-04-06,1000000027,1000000033,2,7
2026-04-06,1000000027,1000000035,3,4
2026-04-06,1000000027,1000000042,5,1
2026-04-06,1000000027,1000000043,4,2
2026-04-06,1000000027,1000000044,2,8
2026-04-06,1000000027,1000000045,3,5
2026-04-06,1000000027,1000000062,1,13
2026-04-06,1000000027,1000000063,1,14
2026-04-06,1000000027,1000000064,3,6
2026-04-06,1000000027,1000000065,2,9
2026-04-06,1000000027,1000000066,1,15
2026-04-06,1000000027,1000000069,1,16
2026-04-06,1000000027,1000000070,2,10
2026-04-06,1000000027,1000000071,4,3
2026-04-06,1000000027,1000000083,1,17
2026-04-06,1000000027,1000000085,1,18
2026-04-06,1000000027,1000000110,1,19
2026-04-06,1000000027,1000000112,1,20
2026-04-06,1000000027,1000000128,2,11
2026-04-06,1000000027,1000000144,1,21
2026-04-06,1000000028,1000000027,1,8
2026-04-06,1000000028,1000000035,1,9
2026-04-06,1000000028,1000000042,2,2
2026-04-06,1000000028,1000000043,1,10
2026-04-06,1000000028,1000000044,2,3
2026-04-06,1000000028,1000000045,2,4
2026-04-06,1000000028,1000000063,1,11
2026-04-06,1000000028,1000000064,2,5
2026-04-06,1000000028,1000000069,2,6
2026-04-06,1000000028,1000000070,1,12
2026-04-06,1000000028,1000000071,3,1
2026-04-06,1000000028,1000000072,1,13
2026-04-06,1000000028,1000000083,2,7
2026-04-06,1000000028,1000000087,1,14
2026-04-06,1000000028,1000000113,1,15
2026-04-06,1000000028,1000000121,1,16
2026-04-06,1000000033,1000000027,2,10
2026-04-06,1000000033,1000000035,12,1
2026-04-06,1000000033,1000000042,5,6
2026-04-06,1000000033,1000000043,9,2
2026-04-06,1000000033,1000000044,2,11
2026-04-06,1000000033,1000000045,7,3
2026-04-06,1000000033,1000000062,1,14
2026-04-06,1000000033,1000000063,1,15
2026-04-06,1000000033,1000000064,6,5
2026-04-06,1000000033,1000000065,3,9
2026-04-06,1000000033,1000000066,1,16
2026-04-06,1000000033,1000000070,1,17
2026-04-06,1000000033,1000000071,1,18
2026-04-06,1000000033,1000000083,7,4
2026-04-06,1000000033,1000000085,1,19
2026-04-06,1000000033,1000000087,2,12
2026-04-06,1000000033,1000000113,1,20
2026-04-06,1000000033,1000000121,5,7
2026-04-06,1000000033,1000000127,4,8
2026-04-06,1000000033,1000000128,1,21
2026-04-06,1000000033,1000000142,1,22
2026-04-06,1000000033,1000000144,2,13
2026-04-06,1000000035,1000000027,3,16
2026-04-06,1000000035,1000000028,1,20
2026-04-06,1000000035,1000000033,12,6
2026-04-06,1000000035,1000000042,16,2
2026-04-06,1000000035,1000000043,13,4
2026-04-06,1000000035,1000000044,10,7
2026-04-06,1000000035,1000000045,13,5
2026-04-06,1000000035,1000000062,7,10
2026-04-06,1000000035,1000000063,6,11
2026-04-06,1000000035,1000000064,21,1
2026-04-06,1000000035,1000000065,5,12
2026-04-06,1000000035,1000000066,8,8
2026-04-06,1000000035,1000000069,3,17
2026-04-06,1000000035,1000000071,1,21
2026-04-06,1000000035,1000000083,8,9
2026-04-06,1000000035,1000000086,1,22
2026-04-06,1000000035,1000000087,2,18
2026-04-06,1000000035,1000000088,5,13
2026-04-06,1000000035,1000000092,1,23
2026-04-06,1000000035,1000000093,4,15
2026-04-06,1000000035,1000000094,1,24
2026-04-06,1000000035,1000000108,1,25
2026-04-06,1000000035,1000000111,1,26
2026-04-06,1000000035,1000000112,1,27
2026-04-06,1000000035,1000000121,14,3
2026-04-06,1000000035,1000000127,5,14
2026-04-06,1000000035,1000000128,2,19
2026-04-06,1000000035,1000000142,1,28
2026-04-06,1000000035,1000000144,1,29
2026-04-06,1000000042,1000000027,5,17
2026-04-06,1000000042,1000000028,2,25
2026-04-06,1000000042,1000000033,5,18
2026-04-06,1000000042,1000000035,16,9
2026-04-06,1000000042,1000000043,60,3
2026-04-06,1000000042,1000000044,34,4
2026-04-06,1000000042,1000000045,77,2
2026-04-06,1000000042,1000000062,20,7
2026-04-06,1000000042,1000000063,28,5
2026-04-06,1000000042,1000000064,83,1
2026-04-06,1000000042,1000000065,10,12
2026-04-06,1000000042,1000000066,9,13
2026-04-06,1000000042,1000000069,12,11
2026-04-06,1000000042,1000000070,1,31
2026-04-06,1000000042,1000000071,9,14
2026-04-06,1000000042,1000000072,2,26
2026-04-06,1000000042,1000000083,14,10
2026-04-06,1000000042,1000000084,2,27
2026-04-06,1000000042,1000000085,3,20
2026-04-06,1000000042,1000000086,3,21
2026-04-06,1000000042,1000000087,3,22
2026-04-06,1000000042,1000000088,2,28
2026-04-06,1000000042,1000000090,2,29
2026-04-06,1000000042,1000000094,3,23
2026-04-06,1000000042,1000000110,1,32
2026-04-06,1000000042,1000000111,1,33
2026-04-06,1000000042,1000000112,2,30
2026-04-06,1000000042,1000000113,1,34
2026-04-06,1000000042,1000000121,20,8
2026-04-06,1000000042,1000000127,21,6
2026-04-06,1000000042,1000000128,6,16
2026-04-06,1000000042,1000000142,7,15
2026-04-06,1000000042,1000000143,4,19
2026-04-06,1000000042,1000000144,3,24
2026-04-06,1000000043,1000000027,4,20
2026-04-06,1000000043,1000000028,1,32
2026-04-06,1000000043,1000000033,9,13
2026-04-06,1000000043,1000000035,13,11
2026-04-06,1000000043,1000000042,60,3
2026-04-06,1000000043,1000000044,51,4
2026-04-06,1000000043,1000000045,86,2
2026-04-06,1000000043,1000000062,17,9
2026-04-06,1000000043,1000000063,31,5
2026-04-06,1000000043,1000000064,97,1
2026-04-06,1000000043,1000000065,10,12
2026-04-06,1000000043,1000000066,17,10
2026-04-06,1000000043,1000000069,18,8
2026-04-06,1000000043,1000000070,5,19
2026-04-06,1000000043,1000000071,7,17
2026-04-06,1000000043,1000000072,1,33
2026-04-06,1000000043,1000000083,8,14
2026-04-06,1000000043,1000000084,1,34
2026-04-06,1000000043,1000000085,2,26
2026-04-06,1000000043,1000000086,2,27
2026-04-06,1000000043,1000000087,8,15
2026-04-06,1000000043,1000000088,4,21
2026-04-06,1000000043,1000000090,3,23
2026-04-06,1000000043,1000000091,2,28
2026-04-06,1000000043,1000000092,1,35
2026-04-06,1000000043,1000000093,2,29
2026-04-06,1000000043,1000000094,1,36
2026-04-06,1000000043,1000000111,2,30
2026-04-06,1000000043,1000000112,3,24
2026-04-06,1000000043,1000000113,2,31
2026-04-06,1000000043,1000000121,20,7
2026-04-06,1000000043,1000000127,24,6
2026-04-06,1000000043,1000000128,8,16
2026-04-06,1000000043,1000000142,3,25
2026-04-06,1000000043,1000000143,7,18
2026-04-06,1000000043,1000000144,4,22
2026-04-06,1000000044,1000000027,2,19
2026-04-06,1000000044,1000000028,2,20
2026-04-06,1000000044,1000000033,2,21
2026-04-06,1000000044,1000000035,10,11
2026-04-06,1000000044,1000000042,34,4
2026-04-06,1000000044,1000000043,51,3
2026-04-06,1000000044,1000000045,71,2
2026-04-06,1000000044,1000000062,20,7
2026-04-06,1000000044,1000000063,26,5
2026-04-06,1000000044,1000000064,82,1
2026-04-06,1000000044,1000000065,7,12
2026-04-06,1000000044,1000000066,13,9
2026-04-06,1000000044,1000000069,17,8
2026-04-06,1000000044,1000000070,2,22
2026-04-06,1000000044,1000000071,6,13
2026-04-06,1000000044,1000000072,3,16
2026-04-06,1000000044,1000000083,2,23
2026-04-06,1000000044,1000000086,1,26
2026-04-06,1000000044,1000000087,1,27
