date,product_id,product_name_latest,convergence_gravity_score,return_gravity_score,distinct_source_product_cnt_90d,return_customer_rate_90d,return_loop_rate_90d,simple_repeat_rate_90d
2026-04-06,1000000027,마스코바도 설기,2.151946342077154E-2,0,7,0,0,1.3333333333333333E-1
2026-04-06,1000000028,마스코바도 딸기설기,1.5214510743606895E-2,8.415078818779867E-2,6,7.142857142857142E-2,7.142857142857142E-2,7.142857142857142E-2
2026-04-06,1000000033,가래떡(40개) 4kg,6.574965208350997E-2,0,9,0,0,6.521739130434782E-2
2026-04-06,1000000035,떡국떡 500g,1.1978699671331852E-1,1.662839763011776E-1,12,3.896103896103896E-2,3.896103896103896E-2,1.2987012987012988E-2
2026-04-06,1000000042,약식,3.935904810416066E-1,1.3923437139460854E-1,20,2.127659574468085E-2,2.6595744680851064E-2,1.1702127659574468E-1
2026-04-06,1000000043,모듬영양찰떡,3.446964091852257E-1,3.419395530794667E-1,19,4.639175257731959E-2,7.216494845360824E-2,6.1855670103092786E-2
2026-04-06,1000000044,고구마찰떡,2.2739311330083953E-1,3.5201779001405076E-1,17,5.6338028169014086E-2,7.746478873239436E-2,2.8169014084507043E-2
2026-04-06,1000000045,완두시루떡,4.137526354004412E-1,4.9306312862271867E-1,23,6.109324758842444E-2,8.681672025723473E-2,6.430868167202572E-2
2026-04-06,1000000062,흰이티,2.2875808217870938E-1,1.0636948504688677E-1,11,1.6666666666666666E-2,1.6666666666666666E-2,2.5E-2
2026-04-06,1000000063,쑥이티,1.7767638783249476E-1,2.2828437971635004E-1,12,3.367003367003367E-2,3.367003367003367E-2,3.7037037037037035E-2
2026-04-06,1000000064,2색 이티,1,1.7419678714859438E-1,31,1.566265060240964E-2,1.9879518072289156E-2,8.132530120481928E-2
2026-04-06,1000000065,흰인절미,3.444277592330294E-2,3.35593584626801E-1,4,8.0E-2,1.2E-1,2.0E-2
2026-04-06,1000000066,쑥인절미,3.429015077713736E-2,2.730373580053484E-1,4,4.6511627906976744E-2,8.139534883720931E-2,1.1627906976744186E-2
2026-04-06,1000000069,설기세트,2.889630862354472E-2,2.0613040571121868E-1,3,3.8834951456310676E-2,4.854368932038835E-2,0
2026-04-06,1000000070,마스코바도 쑥설기,8.440038922683421E-3,8.95204962411981E-2,2,4.3478260869565216E-2,4.3478260869565216E-2,4.3478260869565216E-2
2026-04-06,1000000071,마스코바도 호박설기,2.3950257551822077E-2,2.416179857601323E-1,2,8.571428571428572E-2,8.571428571428572E-2,0
2026-04-06,1000000072,마스코바도 흑임자설기,2.479134236875667E-3,0,1,0,0,0
2026-04-06,1000000083,백설기,5.3917456545810837E-2,2.75117328224029E-1,6,6.41025641025641E-2,6.41025641025641E-2,1.282051282051282E-2
2026-04-06,1000000084,십리향 1단 (1호 2호 3호),1.5220343029354108E-1,3.703364696632001E-2,13,6.756756756756757E-3,6.756756756756757E-3,2.702702702702703E-2
2026-04-06,1000000085,십리향 2단 (1호 2호 3호),2.1029300166262013E-1,1.745793540258106E-1,12,2.531645569620253E-2,2.531645569620253E-2,6.0126582278481014E-2
2026-04-06,1000000086,십리향 3단,2.1270246686747105E-1,2.3746719302484E-1,15,3.5175879396984924E-2,4.522613065326633E-2,1.0552763819095477E-1
2026-04-06,1000000087,백리향 1단 (1호 2호 3호),3.830055363765513E-1,3.136552268177844E-1,19,3.67170626349892E-2,4.7516198704103674E-2,7.34341252699784E-2
2026-04-06,1000000088,백리향 2단 (1호 2호),3.6505147438025315E-1,8.065318792792842E-2,18,1.1363636363636364E-2,1.1363636363636364E-2,1.1363636363636363E-1
2026-04-06,1000000089,백리향 3단,5.3522506996604144E-2,1.388663108800556E-1,7,4.0E-2,4.0E-2,8.0E-2
2026-04-06,1000000090,일리향 1단 (1호 2호 3호),1.2184177592404138E-1,0,11,0,0,2.3076923076923078E-2
2026-04-06,1000000091,일리향 2단 (1호 2호 3호),1.7965031425675762E-1,1.2990218370267467E-1,13,2.2222222222222223E-2,2.2222222222222223E-2,6.111111111111111E-2
2026-04-06,1000000092,일리향 3단,1.345297730494137E-1,7.152560513117959E-2,12,1.282051282051282E-2,1.282051282051282E-2,5.7692307692307696E-2
2026-04-06,1000000093,매화 2송이 1호,3.403583184615157E-1,9.538511783784641E-2,17,1.1363636363636364E-2,1.1363636363636364E-2,1.1079545454545454E-1
2026-04-06,1000000094,매화 3송이 1호,2.105883905006708E-1,1.2518702426794356E-1,12,2.1052631578947368E-2,2.1052631578947368E-2,8.421052631578947E-2
2026-04-06,1000000095,매화 5송이 1호,0,0,1,0,0,0
2026-04-06,1000000108,매화 2송이 2호,2.1864194783937896E-1,2.084479223317424E-1,14,3.2388663967611336E-2,3.2388663967611336E-2,9.716599190283401E-2
2026-04-06,1000000110,매화 3송이 2호,4.5334132737870333E-2,5.799919474781847E-2,5,1.4084507042253521E-2,1.4084507042253521E-2,8.450704225352113E-2
2026-04-06,1000000111,매화 3송이 3호,2.9260287865837675E-1,8.345889939270612E-2,18,1.1904761904761904E-2,1.1904761904761904E-2,1.0119047619047619E-1
2026-04-06,1000000112,매화 5송이 2호,1.078241825350095E-1,1.489563445800268E-1,11,3.225806451612903E-2,3.225806451612903E-2,3.225806451612903E-2
2026-04-06,1000000113,매화 5송이 3호,6.24129287714217E-2,1.1346507535424663E-1,7,1.96078431372549E-2,2.9411764705882353E-2,7.84313725490196E-2
2026-04-06,1000000121,깨송편 1kg,1.5845344684166368E-1,2.0872483926746987E-1,11,2.185792349726776E-2,5.46448087431694E-2,9.289617486338798E-2
2026-04-06,1000000127,흑임자이티,3.782795234182498E-2,1.9380585858350655E-1,3,2.8455284552845527E-2,3.2520325203252036E-2,8.130081300813009E-3
2026-04-06,1000000128,흑임자인절미,2.8949964796032488E-2,6.291306473560783E-2,3,1.639344262295082E-2,1.639344262295082E-2,0
2026-04-06,1000000142,경기 미숫가루,1.0448732550721908E-2,0,2,0,0,0
2026-04-06,1000000143,"경기참기름, 경기들기름",9.987663149832387E-3,8.83593591273068E-2,2,4.0E-2,4.0E-2,0
2026-04-06,1000000144,경기 미숫가루 쫀드기,0,6.291306473560783E-2,0,1.639344262295082E-2,1.639344262295082E-2,0
2026-04-06,1000000153,유밀상,4.992369009928218E-2,0,6,0,0,5.454545454545454E-2
2026-04-06,1000000154,화연상,6.575302554347784E-3,0,1,0,0,1.111111111111111E-1
2026-04-06,1000000156,기원상,5.814347079368195E-2,5.938499186896273E-2,6,1.4705882352941176E-2,1.4705882352941176E-2,1.4705882352941177E-1
2026-04-07,1000000027,마스코바도 설기,2.1502395751350788E-2,0,7,0,0,1.3333333333333333E-1
2026-04-07,1000000028,마스코바도 딸기설기,1.5215190427661354E-2,8.408451516658647E-2,6,7.142857142857142E-2,7.142857142857142E-2,7.142857142857142E-2
2026-04-07,1000000033,가래떡(40개) 4kg,6.569786091001259E-2,0,9,0,0,6.521739130434782E-2
2026-04-07,1000000035,떡국떡 500g,1.1968953531314987E-1,1.6615301922132156E-1,12,3.896103896103896E-2,3.896103896103896E-2,1.2987012987012988E-2
2026-04-07,1000000042,약식,4.0529566319803867E-1,1.386195418694617E-1,21,2.1164021164021163E-2,2.6455026455026454E-2,1.164021164021164E-1
2026-04-07,1000000043,모듬영양찰떡,3.4447791607035266E-1,3.416702583082287E-1,19,4.639175257731959E-2,7.216494845360824E-2,6.1855670103092786E-2
2026-04-07,1000000044,고구마찰떡,2.2725128526004593E-1,3.51740558119174E-1,17,5.6338028169014086E-2,7.746478873239436E-2,2.8169014084507043E-2
2026-04-07,1000000045,완두시루떡,4.134082209867414E-1,4.926748163574878E-1,23,6.109324758842444E-2,8.681672025723473E-2,6.430868167202572E-2
2026-04-07,1000000062,흰이티,2.28659297354279E-1,1.0628571367301548E-1,11,1.6666666666666666E-2,1.6666666666666666E-2,2.5E-2
2026-04-07,1000000063,쑥이티,1.7740701020256064E-1,2.5152881378267E-1,12,3.7162162162162164E-2,3.7162162162162164E-2,3.7162162162162164E-2
2026-04-07,1000000064,2색 이티,1,1.7346530693861228E-1,31,1.5596880623875225E-2,1.979604079184163E-2,8.098380323935213E-2
2026-04-07,1000000065,흰인절미,3.4417591709892816E-2,3.35329287628144E-1,4,8.0E-2,1.2E-1,2.0E-2
2026-04-07,1000000066,쑥인절미,3.426434149502379E-2,2.7282232721349853E-1,4,4.6511627906976744E-2,8.139534883720931E-2,1.1627906976744186E-2
2026-04-07,1000000069,설기세트,2.8880621004202096E-2,2.0596806754369382E-1,3,3.8834951456310676E-2,4.854368932038835E-2,0
2026-04-07,1000000070,마스코바도 쑥설기,8.430430569950246E-3,8.944999430207091E-2,2,4.3478260869565216E-2,4.3478260869565216E-2,4.3478260869565216E-2
2026-04-07,1000000071,마스코바도 호박설기,2.3938991848980268E-2,2.4142769932027391E-1,2,8.571428571428572E-2,8.571428571428572E-2,0
2026-04-07,1000000072,마스코바도 흑임자설기,2.4777547608375943E-3,0,1,0,0,0
2026-04-07,1000000083,백설기,5.3884933399590725E-2,2.749006593499532E-1,6,6.41025641025641E-2,6.41025641025641E-2,1.282051282051282E-2
2026-04-07,1000000084,십리향 1단 (1호 2호 3호),1.516567120061398E-1,3.71704252372221E-2,13,6.802721088435374E-3,6.802721088435374E-3,2.7210884353741496E-2
2026-04-07,1000000085,십리향 2단 (1호 2호 3호),2.1034080691235907E-1,1.7364104474375516E-1,12,2.5157232704402517E-2,2.5157232704402517E-2,5.9748427672955975E-2
2026-04-07,1000000086,십리향 3단,2.1268962642242673E-1,2.6664592532261594E-1,15,4.0E-2,5.0E-2,1.05E-1
2026-04-07,1000000087,백리향 1단 (1호 2호 3호),3.8271054042116437E-1,3.1289857007520966E-1,19,3.6637931034482756E-2,4.741379310344827E-2,7.327586206896551E-2
2026-04-07,1000000088,백리향 2단 (1호 2호),3.655306926642491E-1,8.008719770147911E-2,18,1.1267605633802818E-2,1.1267605633802818E-2,1.1267605633802817E-1
2026-04-07,1000000089,백리향 3단,5.346213307644682E-2,1.3875694660474924E-1,7,4.0E-2,4.0E-2,8.0E-2
2026-04-07,1000000090,일리향 1단 (1호 2호 3호),1.2106429815490075E-1,0,11,0,0,2.34375E-2
2026-04-07,1000000091,일리향 2단 (1호 2호 3호),1.7955413480367394E-1,1.2979987913296787E-1,13,2.2222222222222223E-2,2.2222222222222223E-2,6.111111111111111E-2
2026-04-07,1000000092,일리향 3단,1.3444814218804152E-1,7.146927508308193E-2,12,1.282051282051282E-2,1.282051282051282E-2,5.7692307692307696E-2
2026-04-07,1000000093,매화 2송이 1호,3.4033931753490787E-1,9.510011107307023E-2,17,1.13314447592068E-2,1.13314447592068E-2,1.1189801699716714E-1
2026-04-07,1000000094,매화 3송이 1호,2.1048894342169153E-1,1.2508843312585838E-1,12,2.1052631578947368E-2,2.1052631578947368E-2,8.421052631578947E-2
2026-04-07,1000000095,매화 5송이 1호,0,0,1,0,0,0
2026-04-07,1000000108,매화 2송이 2호,2.1878834731347047E-1,2.0768700023231934E-1,14,3.225806451612903E-2,3.225806451612903E-2,9.67741935483871E-2
2026-04-07,1000000110,매화 3송이 2호,4.573472804510567E-2,5.795351743514452E-2,5,1.4084507042253521E-2,1.4084507042253521E-2,9.859154929577464E-2
2026-04-07,1000000111,매화 3송이 3호,2.9267112870493833E-1,8.321157357606382E-2,18,1.1869436201780416E-2,1.1869436201780416E-2,1.0089020771513353E-1
2026-04-07,1000000112,매화 5송이 2호,1.077600038788019E-1,1.4883903389052958E-1,11,3.225806451612903E-2,3.225806451612903E-2,3.225806451612903E-2
2026-04-07,1000000113,매화 5송이 3호,6.234994997233284E-2,1.1337571584249714E-1,7,1.96078431372549E-2,2.9411764705882353E-2,7.84313725490196E-2
2026-04-07,1000000121,깨송편 1kg,1.5859519323079146E-1,2.077855388262532E-1,11,2.1739130434782608E-2,5.434782608695652E-2,9.239130434782608E-2
2026-04-07,1000000127,흑임자이티,3.784928541850705E-2,1.930964015748923E-1,3,2.834008097165992E-2,3.2388663967611336E-2,8.097165991902834E-3
2026-04-07,1000000128,흑임자인절미,2.893403988096917E-2,6.286351750065569E-2,3,1.639344262295082E-2,1.639344262295082E-2,0
2026-04-07,1000000142,경기 미숫가루,1.0431043218236707E-2,0,2,0,0,0
2026-04-07,1000000143,"경기참기름, 경기들기름",9.981161620339752E-3,8.82897716426516E-2,2,4.0E-2,4.0E-2,0
2026-04-07,1000000144,경기 미숫가루 쫀드기,0,6.286351750065569E-2,0,1.639344262295082E-2,1.639344262295082E-2,0
2026-04-07,1000000153,유밀상,4.988866090925219E-2,0,6,0,0,5.454545454545454E-2
2026-04-07,1000000154,화연상,6.571539951991028E-3,0,1,0,0,1.111111111111111E-1
2026-04-07,1000000156,기원상,5.810692046685066E-2,5.933822317064661E-2,6,1.4705882352941176E-2,1.4705882352941176E-2,1.4705882352941177E-1
2026-04-08,1000000027,마스코바도 설기,2.1437623515661138E-2,0,7,0,0,1.3333333333333333E-1
2026-04-08,1000000028,마스코바도 딸기설기,1.5179185031307236E-2,8.407507880039974E-2,6,7.142857142857142E-2,7.142857142857142E-2,7.142857142857142E-2
2026-04-08,1000000033,가래떡(40개) 4kg,6.556135265967403E-2,0,9,0,0,6.521739130434782E-2
2026-04-08,1000000035,떡국떡 500g,1.188937159173168E-1,1.6613437273535092E-1,12,3.896103896103896E-2,3.896103896103896E-2,1.2987012987012988E-2
2026-04-08,1000000042,약식,4.0702518250110836E-1,1.3910910401220877E-1,21,2.127659574468085E-2,2.6595744680851064E-2,1.1702127659574468E-1
2026-04-08,1000000043,모듬영양찰떡,3.4750960104514733E-1,3.4163191443877644E-1,19,4.639175257731959E-2,7.216494845360824E-2,6.1855670103092786E-2
2026-04-08,1000000044,고구마찰떡,2.2665136925240964E-1,3.1513518018169867E-1,17,4.964539007092199E-2,7.092198581560284E-2,2.8368794326241134E-2
2026-04-08,1000000045,완두시루떡,4.112732459825162E-1,4.8456332961804943E-1,23,6.129032258064516E-2,8.387096774193549E-2,6.451612903225806E-2
2026-04-08,1000000062,흰이티,2.275609156331276E-1,1.0722315774335121E-1,11,1.6877637130801686E-2,1.6877637130801686E-2,2.531645569620253E-2
2026-04-08,1000000063,쑥이티,1.7759235806539253E-1,2.4966950495164092E-1,12,3.678929765886288E-2,3.678929765886288E-2,4.013377926421405E-2
2026-04-08,1000000064,2색 이티,1,1.7336131095123902E-1,31,1.5587529976019185E-2,1.9784172661870502E-2,8.15347721822542E-2
2026-04-08,1000000065,흰인절미,3.432768515942441E-2,3.352916553727291E-1,4,8.0E-2,1.2E-1,2.0E-2
2026-04-08,1000000066,쑥인절미,8.125894449663136E-3,2.727917097879428E-1,1,4.6511627906976744E-2,8.139534883720931E-2,1.1627906976744186E-2
2026-04-08,1000000069,설기세트,2.8924084830430682E-2,2.0472567541261313E-1,3,3.8461538461538464E-2,4.807692307692308E-2,0
2026-04-08,1000000070,마스코바도 쑥설기,8.094662814844214E-3,8.988306206357592E-2,2,4.5454545454545456E-2,4.5454545454545456E-2,4.5454545454545456E-2
2026-04-08,1000000071,마스코바도 호박설기,2.37998631471788E-2,2.414006051499158E-1,2,8.571428571428572E-2,8.571428571428572E-2,0
2026-04-08,1000000072,마스코바도 흑임자설기,2.4622736693791134E-3,0,1,0,0,0
2026-04-08,1000000083,백설기,5.368893004759573E-2,2.748698086840315E-1,6,6.41025641025641E-2,6.41025641025641E-2,1.282051282051282E-2
2026-04-08,1000000084,십리향 1단 (1호 2호 3호),1.5171062896758075E-1,3.7000328268000614E-2,13,6.756756756756757E-3,6.756756756756757E-3,2.702702702702703E-2
