source_key,row_count,min_date,max_date
orders_header,3691,2026-01-19,2026-04-18
order_lines,5623,2026-01-19,2026-03-22
products,99,2020-03-15,2026-04-09
order_utm,3691,2026-01-19,2026-04-18
product_revenue_daily,4150,2025-10-21,2026-04-18
pgm_scored,612,2026-04-05,2026-04-18
pgm_demand_signals,568,2026-04-06,2026-04-18
pgm_entry_to_expansion_transition,5258,2026-04-06,2026-04-18
pgm_transition_edges,5994,2026-04-06,2026-04-18
pgm_return_loops,12899,2026-04-06,2026-04-18
pgm_basket_pairs,13860,2026-04-06,2026-04-18
brand_purchase_daily,180,2025-10-21,2026-04-18
brand_score_events,5623,2026-01-19,2026-03-22
