date,product_id,product_name,revenue,order_count,cart_count,quantity
2026-03-20,1000000042,,90000,3,3,3
2026-03-20,1000000043,,22500,1,1,1
2026-03-20,1000000045,,60000,1,1,2
2026-03-20,1000000062,,42000,2,1,2
2026-03-20,1000000063,,250500,5,2,5
2026-03-20,1000000064,,517500,10,8,12
2026-03-20,1000000066,,22500,1,0,1
2026-03-20,1000000069,,94840,2,2,2
2026-03-20,1000000070,,20000,1,0,1
2026-03-20,1000000071,,20000,1,0,1
2026-03-20,1000000084,,0,0,1,0
2026-03-20,1000000085,,51000,1,0,1
2026-03-20,1000000086,,77000,1,1,1
2026-03-20,1000000087,,0,0,2,0
2026-03-20,1000000088,,120000,1,0,1
2026-03-20,1000000090,,180000,1,3,15
2026-03-20,1000000091,,102000,2,2,4
2026-03-20,1000000093,,1249400,6,1,262
2026-03-20,1000000108,,469200,1,0,102
2026-03-20,1000000127,,23500,1,1,1
2026-03-20,1000000128,,0,0,1,0
2026-03-20,1000000142,,19000,1,0,1
2026-03-21,1000000042,,87500,1,1,1
2026-03-21,1000000045,,0,0,1,0
2026-03-21,1000000062,,21000,1,0,1
2026-03-21,1000000063,,46000,1,0,1
2026-03-21,1000000064,,218000,3,3,8
2026-03-21,1000000066,,0,0,1,0
2026-03-21,1000000069,,57840,2,1,2
2026-03-21,1000000085,,54500,1,0,1
2026-03-21,1000000087,,293000,3,0,5
2026-03-21,1000000088,,116000,1,0,1
2026-03-21,1000000092,,74000,2,0,2
2026-03-21,1000000093,,47000,1,0,10
2026-03-21,1000000108,,936500,3,1,205
2026-03-21,1000000110,,1242000,1,0,180
2026-03-21,1000000112,,230000,1,0,20
2026-03-21,1000000127,,69500,1,2,2
2026-03-21,1000000143,,59000,1,0,1
2026-03-22,1000000042,,0,0,1,0
2026-03-22,1000000043,,0,0,1,0
2026-03-22,1000000044,,132500,2,0,2
2026-03-22,1000000045,,40000,1,2,1
2026-03-22,1000000062,,21000,1,0,1
2026-03-22,1000000063,,206500,5,2,5
2026-03-22,1000000064,,193000,4,4,4
2026-03-22,1000000069,,0,0,1,0
2026-03-22,1000000084,,88000,2,0,3
2026-03-22,1000000085,,109000,1,0,2
2026-03-22,1000000086,,77000,1,0,1
2026-03-22,1000000087,,130000,1,0,2
2026-03-22,1000000088,,0,0,1,0
2026-03-22,1000000094,,221000,2,0,34
2026-03-22,1000000108,,517500,2,0,115
2026-03-22,1000000111,,700000,1,0,100
2026-03-22,1000000127,,159500,3,1,3
2026-03-22,1000000128,,22500,1,1,1
2026-03-23,1000000033,,0,0,1,0
2026-03-23,1000000042,,90000,3,3,3
2026-03-23,1000000043,,45000,2,1,2
2026-03-23,1000000044,,45000,2,0,2
2026-03-23,1000000045,,214000,4,2,5
2026-03-23,1000000062,,0,0,4,0
2026-03-23,1000000063,,69500,2,1,2
2026-03-23,1000000064,,565000,11,5,13
2026-03-23,1000000066,,67500,2,2,3
2026-03-23,1000000069,,18920,1,1,1
2026-03-23,1000000070,,20000,1,0,1
2026-03-23,1000000071,,0,0,1,0
2026-03-23,1000000083,,45000,1,0,1
2026-03-23,1000000084,,419000,2,0,14
2026-03-23,1000000085,,256500,5,0,5
2026-03-23,1000000086,,77000,1,0,1
2026-03-23,1000000087,,179000,3,1,3
2026-03-23,1000000088,,1172000,3,0,10
2026-03-23,1000000089,,341000,2,0,2
2026-03-23,1000000090,,78000,2,0,6
2026-03-23,1000000091,,1402000,2,0,56
2026-03-23,1000000092,,76000,1,0,2
2026-03-23,1000000093,,971200,5,0,205
2026-03-23,1000000094,,198000,1,1,30
2026-03-23,1000000108,,506000,3,1,110
2026-03-23,1000000111,,210000,1,0,30
2026-03-23,1000000112,,460000,1,0,40
2026-03-23,1000000113,,864000,2,1,75
2026-03-23,1000000127,,93000,3,0,3
2026-03-23,1000000128,,67500,2,0,2
2026-03-23,1000000142,,19000,1,0,1
2026-03-24,1000000042,,87500,1,1,1
2026-03-24,1000000043,,22500,1,2,1
2026-03-24,1000000044,,87500,1,2,1
2026-03-24,1000000045,,40000,1,3,1
2026-03-24,1000000062,,261000,2,1,4
2026-03-24,1000000063,,113500,2,4,2
2026-03-24,1000000064,,645000,11,11,15
2026-03-24,1000000066,,180000,4,1,6
2026-03-24,1000000083,,180000,3,0,4
2026-03-24,1000000085,,214500,3,0,4
2026-03-24,1000000087,,187000,2,0,3
2026-03-24,1000000088,,461000,3,0,4
2026-03-24,1000000089,,840000,1,0,5
2026-03-24,1000000092,,38000,1,0,1
2026-03-24,1000000093,,737900,4,6,157
2026-03-24,1000000094,,198000,1,0,30
2026-03-24,1000000108,,1305000,2,0,290
2026-03-24,1000000111,,390500,1,0,55
2026-03-24,1000000112,,1173000,2,0,102
2026-03-24,1000000113,,2300000,3,0,200
2026-03-24,1000000127,,209500,4,2,7
2026-03-24,1000000153,,28600,1,1,1
2026-03-24,1000000154,,0,0,1,0
2026-03-25,1000000033,,0,0,3,0
2026-03-25,1000000035,,0,0,2,0
2026-03-25,1000000042,,67500,2,1,2
2026-03-25,1000000043,,0,0,2,0
2026-03-25,1000000045,,214000,4,1,5
2026-03-25,1000000062,,80000,1,4,1
2026-03-25,1000000063,,46000,1,3,1
2026-03-25,1000000064,,1555000,9,7,64
2026-03-25,1000000066,,45000,1,1,2
2026-03-25,1000000083,,0,0,1,0
2026-03-25,1000000084,,540000,1,0,20
2026-03-25,1000000085,,0,0,0,0
2026-03-25,1000000086,,243000,3,0,3
2026-03-25,1000000087,,460000,3,1,8
2026-03-25,1000000088,,715000,5,0,6
2026-03-25,1000000089,,504000,1,0,3
2026-03-25,1000000090,,260000,1,1,20
2026-03-25,1000000092,,37000,1,0,1
2026-03-25,1000000093,,636100,4,1,133
2026-03-25,1000000094,,330000,1,3,50
2026-03-25,1000000108,,817000,3,1,180
2026-03-25,1000000110,,0,0,1,0
2026-03-25,1000000111,,823600,3,2,116
2026-03-25,1000000121,,0,0,1,0
2026-03-25,1000000127,,0,0,3,0
2026-03-25,1000000128,,0,0,1,0
2026-03-25,1000000142,,0,0,2,0
2026-03-25,1000000143,,0,0,1,0
2026-03-25,1000000153,,0,0,1,0
2026-03-26,1000000042,,90000,3,2,3
2026-03-26,1000000043,,45000,2,2,2
2026-03-26,1000000044,,45000,2,1,2
2026-03-26,1000000045,,0,0,4,0
2026-03-26,1000000062,,124000,3,0,4
2026-03-26,1000000063,,23500,1,3,1
2026-03-26,1000000064,,582500,5,11,8
2026-03-26,1000000066,,22500,1,2,1
2026-03-26,1000000069,,18920,1,1,1
2026-03-26,1000000083,,45000,1,0,1
2026-03-26,1000000084,,165500,2,2,6
2026-03-26,1000000085,,105500,2,0,2
2026-03-26,1000000088,,1060000,5,1,9
2026-03-26,1000000090,,0,0,1,0
2026-03-26,1000000091,,0,0,2,0
2026-03-26,1000000092,,114000,2,0,3
2026-03-26,1000000093,,771900,4,3,163
