order_id,order_at,order_date,member_id,product_id,product_name,quantity,payment_amount,source_line_count,valid_member_flag,reconstruction_level
2601190919075253,2026-01-19 00:19:07.000 UTC,2026-01-19,0,1000000094,매화 3송이 1호,35,227500,1,true,same_universe_reconstructed
2601190937408554,2026-01-19 00:37:40.000 UTC,2026-01-19,62852,1000000083,백설기,1,45000,1,true,same_universe_reconstructed
2601190937415365,2026-01-19 00:37:41.000 UTC,2026-01-19,62852,1000000083,백설기,1,45000,1,true,same_universe_reconstructed
2601190949387496,2026-01-19 00:49:38.000 UTC,2026-01-19,0,1000000087,백리향 1단 (1호 2호 3호),1,65000,1,true,same_universe_reconstructed
2601190951162417,2026-01-19 00:51:16.000 UTC,2026-01-19,62855,1000000144,경기 미숫가루 쫀드기,7,63000,1,true,same_universe_reconstructed
2601191008372581,2026-01-19 01:08:37.000 UTC,2026-01-19,0,1000000064,2색 이티,2,65000,2,true,same_universe_reconstructed
2601191022552812,2026-01-19 01:22:55.000 UTC,2026-01-19,62857,1000000094,매화 3송이 1호,10,66000,1,true,same_universe_reconstructed
2601191028361563,2026-01-19 01:28:36.000 UTC,2026-01-19,0,1000000093,매화 2송이 1호,30,144000,1,true,same_universe_reconstructed
2601191041221354,2026-01-19 01:41:22.000 UTC,2026-01-19,52664,1000000064,2색 이티,1,43000,1,true,same_universe_reconstructed
2601191055392405,2026-01-19 01:55:39.000 UTC,2026-01-19,62859,1000000093,매화 2송이 1호,10,47000,1,true,same_universe_reconstructed
2601191111544196,2026-01-19 02:11:54.000 UTC,2026-01-19,62860,1000000085,십리향 2단 (1호 2호 3호),1,50000,1,true,same_universe_reconstructed
2601191111544196,2026-01-19 02:11:54.000 UTC,2026-01-19,62860,1000000092,일리향 3단,1,38000,1,true,same_universe_reconstructed
2601191113303247,2026-01-19 02:13:30.000 UTC,2026-01-19,62258,1000000042,약식,1,45000,1,true,same_universe_reconstructed
2601191113482978,2026-01-19 02:13:48.000 UTC,2026-01-19,62858,1000000063,쑥이티,1,90000,1,true,same_universe_reconstructed
2601191115437909,2026-01-19 02:15:43.000 UTC,2026-01-19,62862,1000000093,매화 2송이 1호,220,1056000,1,true,same_universe_reconstructed
2601191121552210,2026-01-19 02:21:55.000 UTC,2026-01-19,52664,1000000064,2색 이티,1,43000,1,true,same_universe_reconstructed
2601191129414501,2026-01-19 02:29:41.000 UTC,2026-01-19,62862,1000000093,매화 2송이 1호,60,288000,1,true,same_universe_reconstructed
2601191133483752,2026-01-19 02:33:48.000 UTC,2026-01-19,62862,1000000093,매화 2송이 1호,40,192000,1,true,same_universe_reconstructed
2601191134526883,2026-01-19 02:34:52.000 UTC,2026-01-19,62864,1000000088,백리향 2단 (1호 2호),1,116000,1,true,same_universe_reconstructed
2601191137477204,2026-01-19 02:37:47.000 UTC,2026-01-19,62864,1000000087,백리향 1단 (1호 2호 3호),1,65000,1,true,same_universe_reconstructed
2601191140451195,2026-01-19 02:40:45.000 UTC,2026-01-19,62864,1000000087,백리향 1단 (1호 2호 3호),1,65000,1,true,same_universe_reconstructed
2601191215276956,2026-01-19 03:15:27.000 UTC,2026-01-19,0,1000000090,일리향 1단 (1호 2호 3호),2,26000,1,true,same_universe_reconstructed
2601191227282207,2026-01-19 03:27:28.000 UTC,2026-01-19,62829,1000000064,2색 이티,1,85000,1,true,same_universe_reconstructed
2601191227298968,2026-01-19 03:27:29.000 UTC,2026-01-19,62829,1000000064,2색 이티,1,85000,1,true,same_universe_reconstructed
2601191323379799,2026-01-19 04:23:38.000 UTC,2026-01-19,62869,1000000062,흰이티,1,80000,1,true,same_universe_reconstructed
2601191327592570,2026-01-19 04:27:59.000 UTC,2026-01-19,62870,1000000064,2색 이티,2,65000,2,true,same_universe_reconstructed
2601191335496351,2026-01-19 04:35:49.000 UTC,2026-01-19,61521,1000000088,백리향 2단 (1호 2호),1,116000,1,true,same_universe_reconstructed
2601191350220602,2026-01-19 04:50:22.000 UTC,2026-01-19,15859,1000000086,십리향 3단,1,77000,1,true,same_universe_reconstructed
2601191354406763,2026-01-19 04:54:40.000 UTC,2026-01-19,62872,1000000064,2색 이티,2,128000,2,true,same_universe_reconstructed
2601191411446544,2026-01-19 05:11:44.000 UTC,2026-01-19,20405,1000000043,모듬영양찰떡,2,67500,2,true,same_universe_reconstructed
2601191423339206,2026-01-19 05:23:33.000 UTC,2026-01-19,47111,1000000094,매화 3송이 1호,75,487500,1,true,same_universe_reconstructed
2601191424310587,2026-01-19 05:24:31.000 UTC,2026-01-19,62873,1000000113,매화 5송이 3호,26,299000,1,true,same_universe_reconstructed
2601191428049458,2026-01-19 05:28:05.000 UTC,2026-01-19,47111,1000000094,매화 3송이 1호,75,487500,1,true,same_universe_reconstructed
2601191450452959,2026-01-19 05:50:45.000 UTC,2026-01-19,0,1000000088,백리향 2단 (1호 2호),1,116000,1,true,same_universe_reconstructed
