as_of_date,window_key,window_days,period_label,source_key,row_count,min_date,max_date,freshness_gap_days,data_state,coverage_state,coverage_note,required_start_date_1d,required_start_date_7d,required_start_date_30d,required_start_date_90d,history_ready,source_label
2026-04-18,1d,1,하루 기준,orders_header,3691,2026-01-19,2026-04-18,0,정상,하루 기준 비교 가능,하루 기준 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,주문 헤더
2026-04-18,7d,7,최근 7일,orders_header,3691,2026-01-19,2026-04-18,0,정상,최근 7일 비교 가능,최근 7일 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,주문 헤더
2026-04-18,30d,30,최근 30일,orders_header,3691,2026-01-19,2026-04-18,0,정상,최근 30일 비교 가능,최근 30일 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,주문 헤더
2026-04-18,1d,1,하루 기준,order_lines,5623,2026-01-19,2026-03-22,27,비교 불가,하루 기준 비교 불가,하루 기준 기준 이력이 아직 충분하지 않습니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,false,주문 상품
2026-04-18,7d,7,최근 7일,order_lines,5623,2026-01-19,2026-03-22,27,비교 불가,최근 7일 비교 불가,최근 7일 기준 이력이 아직 충분하지 않습니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,false,주문 상품
2026-04-18,30d,30,최근 30일,order_lines,5623,2026-01-19,2026-03-22,27,비교 불가,최근 30일 비교 불가,최근 30일 기준 이력이 아직 충분하지 않습니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,false,주문 상품
2026-04-18,1d,1,하루 기준,products,99,2020-03-15,2026-04-19,0,정상,하루 기준 비교 가능,하루 기준 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,상품 기준 정보
2026-04-18,7d,7,최근 7일,products,99,2020-03-15,2026-04-19,0,정상,최근 7일 비교 가능,최근 7일 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,상품 기준 정보
2026-04-18,30d,30,최근 30일,products,99,2020-03-15,2026-04-19,0,정상,최근 30일 비교 가능,최근 30일 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,상품 기준 정보
2026-04-18,1d,1,하루 기준,order_utm,3691,2026-01-19,2026-04-18,0,정상,하루 기준 비교 가능,하루 기준 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,주문 유입 정보
2026-04-18,7d,7,최근 7일,order_utm,3691,2026-01-19,2026-04-18,0,정상,최근 7일 비교 가능,최근 7일 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,주문 유입 정보
2026-04-18,30d,30,최근 30일,order_utm,3691,2026-01-19,2026-04-18,0,정상,최근 30일 비교 가능,최근 30일 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,주문 유입 정보
2026-04-18,1d,1,하루 기준,product_revenue_daily,4150,2025-10-21,2026-04-18,0,정상,하루 기준 비교 가능,하루 기준 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,상품 매출 일별
2026-04-18,7d,7,최근 7일,product_revenue_daily,4150,2025-10-21,2026-04-18,0,정상,최근 7일 비교 가능,최근 7일 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,상품 매출 일별
2026-04-18,30d,30,최근 30일,product_revenue_daily,4150,2025-10-21,2026-04-18,0,정상,최근 30일 비교 가능,최근 30일 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,상품 매출 일별
2026-04-18,1d,1,하루 기준,pgm_scored,612,2026-04-05,2026-04-18,0,정상,하루 기준 비교 가능,하루 기준 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,역할 기본 점수
2026-04-18,7d,7,최근 7일,pgm_scored,612,2026-04-05,2026-04-18,0,정상,최근 7일 비교 가능,최근 7일 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,역할 기본 점수
2026-04-18,30d,30,최근 30일,pgm_scored,612,2026-04-05,2026-04-18,0,정상,최근 30일 비교 불가,최근 30일 기준 이력이 아직 충분하지 않습니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,false,역할 기본 점수
2026-04-18,1d,1,하루 기준,pgm_demand_signals,568,2026-04-06,2026-04-18,0,정상,하루 기준 비교 가능,하루 기준 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,수요/반복 신호
2026-04-18,7d,7,최근 7일,pgm_demand_signals,568,2026-04-06,2026-04-18,0,정상,최근 7일 비교 불가,최근 7일 기준 이력이 아직 충분하지 않습니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,false,수요/반복 신호
2026-04-18,30d,30,최근 30일,pgm_demand_signals,568,2026-04-06,2026-04-18,0,정상,최근 30일 비교 불가,최근 30일 기준 이력이 아직 충분하지 않습니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,false,수요/반복 신호
2026-04-18,1d,1,하루 기준,pgm_entry_to_expansion_transition,5258,2026-04-06,2026-04-18,0,정상,하루 기준 비교 가능,하루 기준 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,첫구매-확장 전이
2026-04-18,7d,7,최근 7일,pgm_entry_to_expansion_transition,5258,2026-04-06,2026-04-18,0,정상,최근 7일 비교 불가,최근 7일 기준 이력이 아직 충분하지 않습니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,false,첫구매-확장 전이
2026-04-18,30d,30,최근 30일,pgm_entry_to_expansion_transition,5258,2026-04-06,2026-04-18,0,정상,최근 30일 비교 불가,최근 30일 기준 이력이 아직 충분하지 않습니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,false,첫구매-확장 전이
2026-04-18,1d,1,하루 기준,pgm_transition_edges,5994,2026-04-06,2026-04-18,0,정상,하루 기준 비교 가능,하루 기준 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,상품 전이 간선
2026-04-18,7d,7,최근 7일,pgm_transition_edges,5994,2026-04-06,2026-04-18,0,정상,최근 7일 비교 불가,최근 7일 기준 이력이 아직 충분하지 않습니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,false,상품 전이 간선
2026-04-18,30d,30,최근 30일,pgm_transition_edges,5994,2026-04-06,2026-04-18,0,정상,최근 30일 비교 불가,최근 30일 기준 이력이 아직 충분하지 않습니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,false,상품 전이 간선
2026-04-18,1d,1,하루 기준,pgm_return_loops,12899,2026-04-06,2026-04-18,0,정상,하루 기준 비교 가능,하루 기준 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,반복 구매 루프
2026-04-18,7d,7,최근 7일,pgm_return_loops,12899,2026-04-06,2026-04-18,0,정상,최근 7일 비교 불가,최근 7일 기준 이력이 아직 충분하지 않습니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,false,반복 구매 루프
2026-04-18,30d,30,최근 30일,pgm_return_loops,12899,2026-04-06,2026-04-18,0,정상,최근 30일 비교 불가,최근 30일 기준 이력이 아직 충분하지 않습니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,false,반복 구매 루프
2026-04-18,1d,1,하루 기준,pgm_basket_pairs,13860,2026-04-06,2026-04-18,0,정상,하루 기준 비교 가능,하루 기준 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,동시구매 페어
2026-04-18,7d,7,최근 7일,pgm_basket_pairs,13860,2026-04-06,2026-04-18,0,정상,최근 7일 비교 불가,최근 7일 기준 이력이 아직 충분하지 않습니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,false,동시구매 페어
2026-04-18,30d,30,최근 30일,pgm_basket_pairs,13860,2026-04-06,2026-04-18,0,정상,최근 30일 비교 불가,최근 30일 기준 이력이 아직 충분하지 않습니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,false,동시구매 페어
2026-04-18,1d,1,하루 기준,brand_purchase_daily,180,2025-10-21,2026-04-18,0,정상,하루 기준 비교 가능,하루 기준 기준으로 비교 또는 관측이 가능합니다.,2026-04-17,2026-04-05,2026-02-18,2025-10-21,true,브랜드 매출 일별
