product_id,product_name,section,label,value,note
1000000093,매화 2송이 1호,헤더,우선순위,즉시 확인,최근 30일 매출이 직전기간 대비 -28.7% 감소 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000093,매화 2송이 1호,Revenue,최근 30일 대비,-28.7%,최근 30일 매출이 직전기간 대비 -28.7% 감소
1000000093,매화 2송이 1호,Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000093,매화 2송이 1호,Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000093,매화 2송이 1호,근거,반복 구매,0.11,반복 루프 0건
1000000093,매화 2송이 1호,근거,동시 구매,0.00,동시구매 pair 0건
1000000111,매화 3송이 3호,헤더,우선순위,즉시 확인,최근 30일 매출이 직전기간 대비 -47.3% 감소 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000111,매화 3송이 3호,Revenue,최근 30일 대비,-47.3%,최근 30일 매출이 직전기간 대비 -47.3% 감소
1000000111,매화 3송이 3호,Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000111,매화 3송이 3호,Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000111,매화 3송이 3호,근거,반복 구매,0.10,반복 루프 0건
1000000111,매화 3송이 3호,근거,동시 구매,0.00,동시구매 pair 0건
1000000094,매화 3송이 1호,헤더,우선순위,즉시 확인,최근 30일 매출이 직전기간 대비 -64.9% 감소 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000094,매화 3송이 1호,Revenue,최근 30일 대비,-64.9%,최근 30일 매출이 직전기간 대비 -64.9% 감소
1000000094,매화 3송이 1호,Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000094,매화 3송이 1호,Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000094,매화 3송이 1호,근거,반복 구매,0.10,반복 루프 0건
1000000094,매화 3송이 1호,근거,동시 구매,0.00,동시구매 pair 0건
1000000113,매화 5송이 3호,헤더,우선순위,즉시 확인,최근 30일 매출이 직전기간 대비 -61.5% 감소 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000113,매화 5송이 3호,Revenue,최근 30일 대비,-61.5%,최근 30일 매출이 직전기간 대비 -61.5% 감소
1000000113,매화 5송이 3호,Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000113,매화 5송이 3호,Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000113,매화 5송이 3호,근거,반복 구매,0.13,반복 루프 0건
1000000113,매화 5송이 3호,근거,동시 구매,0.00,동시구매 pair 0건
1000000084,십리향 1단 (1호 2호 3호),헤더,우선순위,즉시 확인,최근 30일 매출이 직전기간 대비 -70.6% 감소 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000084,십리향 1단 (1호 2호 3호),Revenue,최근 30일 대비,-70.6%,최근 30일 매출이 직전기간 대비 -70.6% 감소
1000000084,십리향 1단 (1호 2호 3호),Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000084,십리향 1단 (1호 2호 3호),Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000084,십리향 1단 (1호 2호 3호),근거,반복 구매,0.04,반복 루프 0건
1000000084,십리향 1단 (1호 2호 3호),근거,동시 구매,0.00,동시구매 pair 0건
1000000091,일리향 2단 (1호 2호 3호),헤더,우선순위,즉시 확인,최근 30일 매출이 직전기간 대비 -32.8% 감소 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000091,일리향 2단 (1호 2호 3호),Revenue,최근 30일 대비,-32.8%,최근 30일 매출이 직전기간 대비 -32.8% 감소
1000000091,일리향 2단 (1호 2호 3호),Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000091,일리향 2단 (1호 2호 3호),Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000091,일리향 2단 (1호 2호 3호),근거,반복 구매,0.14,반복 루프 0건
1000000091,일리향 2단 (1호 2호 3호),근거,동시 구매,0.00,동시구매 pair 0건
1000000085,십리향 2단 (1호 2호 3호),헤더,우선순위,즉시 확인,최근 30일 매출이 직전기간 대비 -26.0% 감소 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000085,십리향 2단 (1호 2호 3호),Revenue,최근 30일 대비,-26.0%,최근 30일 매출이 직전기간 대비 -26.0% 감소
1000000085,십리향 2단 (1호 2호 3호),Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000085,십리향 2단 (1호 2호 3호),Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000085,십리향 2단 (1호 2호 3호),근거,반복 구매,0.16,반복 루프 0건
1000000085,십리향 2단 (1호 2호 3호),근거,동시 구매,0.00,동시구매 pair 0건
1000000090,일리향 1단 (1호 2호 3호),헤더,우선순위,즉시 확인,최근 30일 매출이 직전기간 대비 -29.6% 감소 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000090,일리향 1단 (1호 2호 3호),Revenue,최근 30일 대비,-29.6%,최근 30일 매출이 직전기간 대비 -29.6% 감소
1000000090,일리향 1단 (1호 2호 3호),Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000090,일리향 1단 (1호 2호 3호),Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000090,일리향 1단 (1호 2호 3호),근거,반복 구매,0.02,반복 루프 0건
1000000090,일리향 1단 (1호 2호 3호),근거,동시 구매,0.00,동시구매 pair 0건
1000000087,백리향 1단 (1호 2호 3호),헤더,우선순위,주의 관찰,최근 30일 매출이 직전기간 대비 -11.7% 하락 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000087,백리향 1단 (1호 2호 3호),Revenue,최근 30일 대비,-11.7%,최근 30일 매출이 직전기간 대비 -11.7% 하락
1000000087,백리향 1단 (1호 2호 3호),Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000087,백리향 1단 (1호 2호 3호),Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000087,백리향 1단 (1호 2호 3호),근거,반복 구매,0.31,반복 루프 0건
1000000087,백리향 1단 (1호 2호 3호),근거,동시 구매,0.00,동시구매 pair 0건
1000000112,매화 5송이 2호,헤더,우선순위,주의 관찰,최근 30일 매출이 직전기간 대비 -11.4% 하락 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000112,매화 5송이 2호,Revenue,최근 30일 대비,-11.4%,최근 30일 매출이 직전기간 대비 -11.4% 하락
1000000112,매화 5송이 2호,Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000112,매화 5송이 2호,Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
