as_of_date,product_id,product_name,revenue_segment,role_taxonomy,priority_level,brand_score_status
2026-04-18,1000000093,매화 2송이 1호,감소,첫구매기여,즉시 확인,limited
2026-04-18,1000000111,매화 3송이 3호,감소,첫구매기여,즉시 확인,limited
2026-04-18,1000000094,매화 3송이 1호,감소,첫구매기여,즉시 확인,limited
2026-04-18,1000000113,매화 5송이 3호,감소,첫구매기여,즉시 확인,limited
2026-04-18,1000000084,십리향 1단 (1호 2호 3호),감소,첫구매기여,즉시 확인,limited
2026-04-18,1000000091,일리향 2단 (1호 2호 3호),감소,첫구매기여,즉시 확인,limited
2026-04-18,1000000085,십리향 2단 (1호 2호 3호),감소,첫구매기여,즉시 확인,limited
2026-04-18,1000000090,일리향 1단 (1호 2호 3호),감소,첫구매기여,즉시 확인,limited
2026-04-18,1000000087,백리향 1단 (1호 2호 3호),감소,첫구매기여,주의 관찰,limited
2026-04-18,1000000112,매화 5송이 2호,감소,첫구매기여,주의 관찰,limited
2026-04-18,1000000064,2색 이티,유지,첫구매기여,정상 유지,limited
2026-04-18,1000000062,흰이티,감소,첫구매기여,주의 관찰,limited
2026-04-18,1000000042,약식,유지,첫구매기여,정상 유지,limited
2026-04-18,1000000063,쑥이티,유지,첫구매기여,정상 유지,limited
2026-04-18,1000000089,백리향 3단,증가,첫구매기여,정상 유지,limited
2026-04-18,1000000086,십리향 3단,증가,첫구매기여,정상 유지,limited
2026-04-18,1000000088,백리향 2단 (1호 2호),증가,첫구매기여,정상 유지,limited
2026-04-18,1000000045,완두시루떡,증가,첫구매기여,정상 유지,limited
2026-04-18,1000000110,매화 3송이 2호,증가,첫구매기여,정상 유지,limited
2026-04-18,1000000108,매화 2송이 2호,증가,첫구매기여,정상 유지,limited
