as_of_date,revenue_segment,role_taxonomy,product_count,immediate_count,watch_count,stable_count,brand_limited_count,brand_provisional_count,brand_unavailable_count,brand_near_core_count,top_product_1_id,top_product_1_name,top_product_1_image_url,top_product_1_priority,top_product_2_id,top_product_2_name,top_product_2_image_url,top_product_2_priority,top_product_3_id,top_product_3_name,top_product_3_image_url,top_product_3_priority
2026-04-18,감소,첫구매기여,2,2,0,0,2,0,0,0,1000000093,매화 2송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/list/1000000093_list_057.jpg,즉시 확인,1000000111,매화 3송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000111/image/list/1000000111_list_056.jpg,즉시 확인,,,,
2026-04-18,유지,첫구매기여,1,0,0,1,1,0,0,0,1000000064,2색 이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,정상 유지,,,,,,,,
2026-04-18,증가,첫구매기여,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2026-04-18,비교 불가,첫구매기여,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2026-04-18,감소,재구매확장기여,12,11,1,0,12,0,0,0,1000000094,매화 3송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,즉시 확인,1000000113,매화 5송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/list/1000000113_list_070.jpg,즉시 확인,1000000084,십리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000084/image/list/1000000084_list_028.jpg,즉시 확인
2026-04-18,유지,재구매확장기여,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2026-04-18,증가,재구매확장기여,6,0,0,6,6,0,0,0,1000000154,화연상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000154/image/list/1000000154_list_031.jpg,정상 유지,1000000089,백리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000089/image/list/1000000089_list_027.jpg,정상 유지,1000000086,십리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,정상 유지
2026-04-18,비교 불가,재구매확장기여,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2026-04-18,감소,반복구매기여,3,1,2,0,3,0,0,0,1000000087,백리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/list/1000000087_list_067.jpg,주의 관찰,1000000112,매화 5송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,주의 관찰,1000000121,깨송편 1kg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000121/image/list/1000000121_list_089.jpg,즉시 확인
2026-04-18,유지,반복구매기여,1,0,0,1,1,0,0,0,1000000028,마스코바도 딸기설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000028/image/list/1000000028_list_04.jpg,정상 유지,,,,,,,,
