product_id,ca_type,attach_rate,median_cart_size,breadth_lift,companion_count,top1_share,top3_share,top1_companion_product_id
1436,Core,1.0,6.0,4.0,139,0.038263,0.097866,1458
853,NaN,0.981818,4.0,2.0,91,0.107345,0.180791,852
1372,NaN,1.0,5.0,3.0,79,0.059908,0.152074,1366
1280,NaN,0.684211,3.0,1.0,24,0.147059,0.294118,1281
1361,NaN,0.393258,1.0,-1.0,28,0.228916,0.518072,1315
926,NaN,0.954545,4.0,2.0,68,0.060976,0.121951,927
1241,NaN,1.0,7.0,5.0,62,0.044248,0.115044,29
1528,NaN,1.0,3.0,1.0,145,0.14555,0.316052,608
1445,NaN,0.952719,3.0,1.0,101,0.116473,0.272047,1431
1500,NaN,0.944954,4.0,2.0,77,0.141667,0.336111,1499
577,NaN,0.957865,4.0,2.0,303,0.066246,0.158123,608
1349,NaN,0.95,3.0,1.0,45,0.137405,0.396947,1316
1485,NaN,0.950249,2.0,0.0,16,0.725888,0.918782,1432
1305,NaN,0.993243,5.0,3.0,324,0.120548,0.222282,1306
1377,NaN,0.75,3.0,1.0,5,0.3125,0.8125,1369
1304,NaN,0.959459,3.0,1.0,159,0.069847,0.129472,608
1290,NaN,1.0,5.0,3.0,25,0.191011,0.404494,1301
1492,NaN,1.0,5.0,3.0,4,0.25,0.75,1432
1236,NaN,0.802083,3.0,1.0,62,0.171084,0.349398,1176
1601,NaN,0.958333,4.0,2.0,60,0.115741,0.291667,1617
854,NaN,0.874818,3.0,1.0,266,0.098668,0.166465,608
1192,Pair,1.0,5.0,3.0,34,0.23,0.4075,1203
1259,NaN,0.895105,4.0,2.0,139,0.076543,0.195062,854
1318,NaN,1.0,4.0,2.0,94,0.081967,0.236066,1350
1112,Pair,0.990164,4.0,2.0,66,0.311494,0.456322,1123
1111,Pair,1.0,4.0,2.0,45,0.283898,0.474576,1123
29,NaN,0.965909,4.0,2.0,191,0.034884,0.094684,1237
1470,NaN,1.0,5.0,3.0,89,0.065814,0.184644,1472
1508,NaN,1.0,5.0,3.0,61,0.061674,0.176211,1432
1135,NaN,0.985149,4.0,2.0,41,0.183028,0.480865,1133
890,NaN,0.947471,4.0,2.0,271,0.064052,0.137255,608
1526,NaN,0.86875,3.0,1.0,84,0.160326,0.345109,1568
1429,NaN,0.972292,5.0,3.0,209,0.051481,0.140359,1432
478,NaN,0.806202,3.0,1.0,114,0.126923,0.211538,608
1298,Pair,1.0,4.0,2.0,16,0.264706,0.470588,1301
1556,NaN,1.0,3.0,1.0,18,0.186441,0.474576,1550
1569,NaN,1.0,3.0,1.0,148,0.113156,0.299675,1598
1124,NaN,0.008258,1.0,-1.0,19,0.12,0.32,1097
524,NaN,0.942184,4.0,2.0,300,0.072759,0.162107,608
1282,NaN,0.691176,2.0,0.0,65,0.132813,0.25,1281
1109,Pair,0.993179,2.0,0.0,86,0.275259,0.488465,1098
1252,NaN,0.901961,4.0,2.0,24,0.201439,0.446043,1255
1347,NaN,0.946032,3.0,1.0,94,0.14026,0.323377,1315
1296,Pair,0.995261,5.0,3.0,54,0.222989,0.433333,1301
1227,NaN,1.0,4.0,2.0,74,0.075758,0.184848,1178
1407,Core,1.0,5.0,3.0,156,0.079842,0.199022,1431
1563,NaN,0.95302,3.0,1.0,51,0.216802,0.471545,1528
1605,NaN,0.927632,4.0,2.0,103,0.08325,0.220662,1606
1277,NaN,0.609589,2.0,0.0,82,0.139535,0.343023,1276
1336,Pair,0.989247,3.0,1.0,56,0.22488,0.492823,1315
888,NaN,0.981132,5.0,3.0,188,0.05569,0.101695,852
1379,NaN,0.8,3.0,1.0,7,0.363636,0.636364,608
539,NaN,0.941555,4.0,2.0,274,0.062212,0.14944,1176
1283,NaN,0.833333,2.0,0.0,27,0.189655,0.344828,1278
1609,NaN,0.798193,3.0,1.0,112,0.131772,0.291362,1617
1536,NaN,0.950413,5.0,3.0,33,0.248322,0.411633,1535
1455,Pair,0.991625,3.0,1.0,111,0.259939,0.545872,1431
1070,NaN,0.882521,4.0,2.0,71,0.15368,0.344156,1066
1475,NaN,1.0,4.0,2.0,7,0.142857,0.428571,1429
1428,NaN,0.956522,4.0,2.0,204,0.05443,0.122756,1431
1514,NaN,1.0,6.0,4.0,30,0.1,0.24,1515
1431,NaN,1.0,3.0,1.0,201,0.091561,0.155295,608
1133,NaN,0.865079,3.0,1.0,80,0.218204,0.482959,1131
1486,NaN,1.0,4.0,2.0,56,0.095541,0.248408,1432
1340,NaN,0.989899,3.0,1.0,92,0.20217,0.487179,1315
1549,NaN,1.0,6.0,4.0,15,0.173913,0.347826,1550
1488,NaN,1.0,4.0,2.0,46,0.107914,0.266187,1432
1375,NaN,0.931818,3.0,1.0,17,0.3875,0.75,608
928,NaN,0.978261,4.0,2.0,108,0.037267,0.099379,852
1076,NaN,0.977642,3.0,1.0,69,0.164407,0.394068,1066
1191,Pair,0.993289,4.0,2.0,52,0.299025,0.448537,1203
785,NaN,0.95509,4.0,2.0,298,0.076984,0.169841,784
1228,NaN,0.938843,4.0,2.0,278,0.056896,0.130178,1229
1637,NaN,0.880862,4.0,2.0,104,0.108108,0.307593,1623
1193,Pair,0.99375,4.0,2.0,41,0.255435,0.46558,1203
1543,Pair,1.0,4.0,2.0,31,0.227397,0.432877,1535
1462,NaN,0.956522,6.0,4.0,36,0.101852,0.296296,1432
1607,NaN,0.975862,4.0,2.0,112,0.068158,0.187433,1617
1071,NaN,0.928389,4.0,2.0,75,0.167598,0.354749,1066
503,NaN,0.4,1.0,-1.0,2,0.5,1.0,1100
1307,NaN,0.0,1.0,-1.0,0,0.0,0.0,
31,NaN,0.975177,5.0,3.0,205,0.03876,0.090439,1432
1082,NaN,0.996466,3.0,1.0,201,0.134194,0.36698,1066
1106,NaN,0.966667,4.0,2.0,55,0.110553,0.286432,1098
1079,NaN,0.923077,4.0,2.0,40,0.134091,0.306818,1066
1254,NaN,0.925,4.0,2.0,27,0.188034,0.444444,1255
1383,NaN,0.04089,1.0,-1.0,19,0.561404,0.763158,608
617,NaN,0.937089,4.0,2.0,327,0.064955,0.162697,608
1250,Pair,1.0,3.0,1.0,28,0.225806,0.467742,1238
1630,NaN,1.0,5.0,3.0,36,0.213873,0.378613,1637
1473,NaN,0.990741,6.0,4.0,89,0.074275,0.173913,1472
1354,NaN,1.0,4.0,2.0,5,0.285714,0.714286,1352
1232,NaN,0.933946,4.0,2.0,356,0.04344,0.097411,608
1509,NaN,0.961538,4.0,2.0,40,0.116883,0.246753,1431
505,NaN,0.963855,4.0,2.0,132,0.116838,0.199313,504
1424,Core,1.0,4.0,2.0,109,0.123762,0.248762,1432
1276,NaN,0.524934,2.0,0.0,73,0.138329,0.357349,1277
1398,NaN,0.987654,5.0,3.0,30,0.2,0.385714,1406
1263,NaN,0.988506,4.0,2.0,140,0.088685,0.174312,1262
1421,Core,1.0,4.0,2.0,117,0.112785,0.2621,608
75,NaN,0.94648,3.0,1.0,264,0.151791,0.325326,608
1554,Pair,1.0,3.0,1.0,60,0.352134,0.568598,1529
1550,NaN,0.758746,3.0,1.0,114,0.152257,0.368018,1528
1639,NaN,1.0,3.0,1.0,101,0.180046,0.340596,608
1633,NaN,0.993289,5.0,3.0,48,0.176174,0.362416,1637
1453,NaN,1.0,4.0,2.0,25,0.121951,0.317073,1432
1580,NaN,0.974843,3.0,1.0,57,0.286614,0.551181,1568
736,NaN,1.0,2.0,0.0,1,1.0,1.0,1098
1384,NaN,1.0,4.0,2.0,3,0.333333,1.0,1381
1257,NaN,1.0,5.0,3.0,19,0.191489,0.446809,1252
1161,NaN,0.955752,3.0,1.0,35,0.30303,0.565657,1140
1267,NaN,0.947368,4.0,2.0,95,0.033784,0.087838,37
1046,Core,1.0,4.0,2.0,168,0.089041,0.19863,608
1139,Pair,1.0,2.0,0.0,3,0.823529,1.0,1145
1419,NaN,0.976703,5.0,3.0,90,0.079524,0.204764,1431
1144,NaN,1.0,6.0,4.0,30,0.093023,0.232558,1082
1559,NaN,0.925773,3.0,1.0,95,0.172771,0.468153,1528
1323,NaN,0.8262,3.0,1.0,98,0.167903,0.411547,1315
1130,NaN,0.964155,5.0,3.0,301,0.067759,0.149138,1431
1175,NaN,1.0,3.0,1.0,79,0.211189,0.327273,1140
1515,NaN,0.935484,6.0,4.0,46,0.076389,0.201389,1431
1288,Pair,1.0,5.0,3.0,38,0.234234,0.427928,1301
1404,NaN,0.980392,3.0,1.0,62,0.111111,0.256944,608
1196,Pair,0.988889,5.0,3.0,23,0.244713,0.453172,1203
1271,NaN,1.0,3.0,1.0,121,0.096145,0.26416,1301
1339,Pair,0.989726,2.0,0.0,67,0.281008,0.639535,1315
1611,NaN,0.988235,4.0,2.0,91,0.062284,0.148789,1618
1540,Pair,1.0,4.0,2.0,42,0.254453,0.424936,1535
1439,NaN,0.944643,4.0,2.0,104,0.129826,0.264961,1431
1128,NaN,0.826367,3.0,1.0,97,0.150418,0.427112,1140
1200,Pair,0.981481,4.0,2.0,31,0.227273,0.435829,1203
1308,NaN,0.955882,3.0,1.0,53,0.181208,0.47651,608
1408,NaN,0.998435,4.0,2.0,133,0.093339,0.24759,1431
1402,NaN,0.991736,5.0,3.0,39,0.212,0.436,1406
1087,NaN,0.285714,1.0,-1.0,12,0.133333,0.4,1065
1167,NaN,0.091463,1.0,-1.0,3,0.466667,1.0,1140
1346,NaN,0.971429,4.0,2.0,43,0.12037,0.287037,1315
1566,Pair,1.0,3.0,1.0,8,0.3,0.5,1550
229,NaN,0.814815,3.0,1.0,34,0.109375,0.28125,1066
1165,NaN,0.8,3.0,1.0,71,0.146727,0.327314,1140
1391,Pair,0.990798,4.0,2.0,60,0.264527,0.421509,1406
1382,Pair,1.0,4.0,2.0,18,0.357143,0.571429,608
1356,NaN,0.960784,5.0,3.0,160,0.054054,0.140825,1432
1381,NaN,1.0,4.0,2.0,3,0.333333,1.0,1382
1113,Pair,1.0,5.0,3.0,42,0.225201,0.423592,1123
1234,NaN,0.972603,4.0,2.0,93,0.060729,0.157895,608
1358,NaN,0.209417,1.0,-1.0,55,0.76087,0.837359,608
1385,NaN,1.0,3.0,1.0,18,0.105263,0.210526,1264
578,NaN,0.941176,3.0,1.0,66,0.123711,0.185567,608
1316,NaN,1.0,3.0,1.0,154,0.123822,0.26623,608
41,NaN,0.971831,4.0,2.0,212,0.032425,0.081712,608
1489,NaN,1.0,5.0,3.0,62,0.080882,0.198529,1432
491,NaN,0.940023,3.0,1.0,183,0.153493,0.345588,32
1422,Pair,0.9991,3.0,1.0,134,0.330617,0.468935,1432
1190,NaN,0.97561,5.0,3.0,24,0.205556,0.377778,1203
1468,NaN,1.0,5.0,3.0,98,0.078189,0.201646,1434
1301,NaN,0.711519,3.0,1.0,85,0.148697,0.349955,1300
1570,Core,1.0,4.0,2.0,109,0.072,0.176,608
1105,NaN,1.0,3.0,1.0,45,0.196429,0.386905,1097
1078,NaN,0.979798,3.0,1.0,34,0.145985,0.313869,1066
1107,NaN,0.95,4.0,2.0,40,0.127273,0.272727,1097
1344,NaN,0.974359,3.0,1.0,53,0.161616,0.383838,1315
1247,Pair,1.0,3.0,1.0,29,0.231884,0.376812,1238
1527,NaN,0.98913,3.0,1.0,67,0.165049,0.320388,608
