cohort_date,aa_product_id,aa_type,pca_product_id,transition_customers,transition_rate,avg_days_to_pca,entry_product_id,expansion_product_id,avg_days_to_expansion
2026-03-05,1033,Broad,1301,8,0.00175,31.0,1033,1301,31.0
2026-03-05,1033,Broad,1386,7,0.001531,32.0,1033,1386,32.0
2026-03-05,1033,Broad,1427,5,0.001094,37.6,1033,1427,37.6
2026-03-05,1033,Broad,1394,4,0.000875,40.75,1033,1394,40.75
2026-03-05,1033,Broad,1112,1,0.000219,41.0,1033,1112,41.0
2026-03-05,1033,Broad,1300,1,0.000219,77.0,1033,1300,77.0
2026-03-05,1033,Broad,1399,1,0.000219,61.0,1033,1399,61.0
2026-03-05,1033,Broad,1191,1,0.000219,11.0,1033,1191,11.0
2026-03-05,1033,Broad,1236,1,0.000219,14.0,1033,1236,14.0
2026-03-05,1033,Broad,1118,1,0.000219,38.0,1033,1118,38.0
2026-03-05,1033,Broad,1302,1,0.000219,63.0,1033,1302,63.0
2026-03-05,1033,Broad,1123,47,0.010282,36.5957,1033,1123,36.5957
2026-03-05,1033,Broad,1266,46,0.010063,32.2609,1033,1266,32.2609
2026-03-05,1033,Broad,1168,26,0.005688,35.6154,1033,1168,35.6154
2026-03-05,1033,Broad,1203,22,0.004813,41.2727,1033,1203,41.2727
2026-03-05,1033,Broad,1370,12,0.002625,42.9167,1033,1370,42.9167
2026-03-05,1033,Broad,1122,12,0.002625,37.5,1033,1122,37.5
2026-03-05,1033,Broad,1121,11,0.002406,36.6364,1033,1121,36.6364
2026-03-05,1033,Broad,1119,11,0.002406,37.3636,1033,1119,37.3636
2026-03-05,1033,Broad,1535,10,0.002188,36.9,1033,1535,36.9
2026-03-05,1033,Broad,1360,10,0.002188,26.2,1033,1360,26.2
2026-03-05,1033,Broad,1406,9,0.001969,41.6667,1033,1406,41.6667
2026-03-05,1097,Broad,1112,4,0.001319,0.25,1097,1112,0.25
2026-03-05,1097,Broad,1191,3,0.000989,55.3333,1097,1191,55.3333
2026-03-05,1097,Broad,1118,2,0.000659,0.0,1097,1118,0.0
2026-03-05,1097,Broad,1123,193,0.063633,0.9845,1097,1123,0.9845
2026-03-05,1097,Broad,1203,113,0.037257,57.7699,1097,1203,57.7699
2026-03-05,1097,Broad,1168,48,0.015826,32.8542,1097,1168,32.8542
2026-03-05,1097,Broad,1122,47,0.015496,0.8723,1097,1122,0.8723
2026-03-05,1097,Broad,1119,36,0.011869,0.8889,1097,1119,0.8889
2026-03-05,1097,Broad,1121,12,0.003956,1.5,1097,1121,1.5
2026-03-05,1097,Broad,1266,9,0.002967,86.0,1097,1266,86.0
2026-03-05,1140,Broad,1300,3,0.000876,81.0,1140,1300,81.0
2026-03-05,1140,Broad,1191,2,0.000584,36.5,1140,1191,36.5
2026-03-05,1140,Broad,1195,1,0.000292,42.0,1140,1195,42.0
2026-03-05,1140,Broad,1301,1,0.000292,79.0,1140,1301,79.0
2026-03-05,1140,Broad,1203,184,0.053754,29.3098,1140,1203,29.3098
2026-03-05,1140,Broad,1168,99,0.028922,9.7071,1140,1168,9.7071
2026-03-05,1140,Broad,1266,69,0.020158,64.9565,1140,1266,64.9565
2026-03-05,1140,Broad,1236,7,0.002045,51.4286,1140,1236,51.4286
2026-03-05,1176,Broad,1168,5,0.001507,0.0,1176,1168,0.0
2026-03-05,1176,Broad,1195,3,0.000904,0.0,1176,1195,0.0
2026-03-05,1176,Broad,1360,1,0.000301,89.0,1176,1360,89.0
2026-03-05,1176,Broad,1296,1,0.000301,71.0,1176,1296,71.0
2026-03-05,1176,Broad,1191,1,0.000301,0.0,1176,1191,0.0
2026-03-05,1176,Broad,1193,1,0.000301,1.0,1176,1193,1.0
2026-03-05,1176,Broad,1266,296,0.08921,27.9696,1176,1266,27.9696
2026-03-05,1176,Broad,1203,54,0.016275,5.7037,1176,1203,5.7037
2026-03-05,1176,Broad,1236,43,0.01296,11.5116,1176,1236,11.5116
2026-03-05,1176,Broad,1301,15,0.004521,56.8667,1176,1301,56.8667
2026-03-05,1176,Broad,1300,8,0.002411,53.375,1176,1300,53.375
2026-03-05,1176,Broad,1303,7,0.00211,57.4286,1176,1303,57.4286
2026-03-05,1177,Broad,1303,4,0.001797,55.75,1177,1303,55.75
2026-03-05,1177,Broad,1360,4,0.001797,81.0,1177,1360,81.0
2026-03-05,1177,Broad,1193,2,0.000898,0.0,1177,1193,0.0
2026-03-05,1177,Broad,1296,1,0.000449,62.0,1177,1296,62.0
2026-03-05,1177,Broad,1191,1,0.000449,0.0,1177,1191,0.0
2026-03-05,1177,Broad,1266,254,0.114106,27.4724,1177,1266,27.4724
2026-03-05,1177,Broad,1236,43,0.019317,12.093,1177,1236,12.093
2026-03-05,1177,Broad,1203,37,0.016622,7.7838,1177,1203,7.7838
2026-03-05,1177,Broad,1301,16,0.007188,56.125,1177,1301,56.125
2026-03-05,1177,Broad,1168,7,0.003145,0.2857,1177,1168,0.2857
2026-03-05,1177,Broad,1300,7,0.003145,60.2857,1177,1300,60.2857
2026-03-05,1177,Broad,1195,5,0.002246,2.8,1177,1195,2.8
2026-03-05,1315,Broad,1468,3,0.001155,51.3333,1315,1468,51.3333
2026-03-05,1315,Broad,1391,1,0.000385,35.0,1315,1391,35.0
2026-03-05,1315,Broad,1386,93,0.035811,22.1935,1315,1386,22.1935
2026-03-05,1315,Broad,1406,63,0.024259,32.7778,1315,1406,32.7778
2026-03-05,1315,Broad,1370,44,0.016943,28.2273,1315,1370,28.2273
2026-03-05,1315,Broad,1360,40,0.015402,8.0,1315,1360,8.0
2026-03-05,1315,Broad,1427,29,0.011167,55.0,1315,1427,55.0
2026-03-05,1315,Broad,1394,19,0.007316,30.2105,1315,1394,30.2105
2026-03-05,1315,Broad,1395,18,0.006931,30.3333,1315,1395,30.3333
2026-03-05,1315,Broad,1399,16,0.006161,29.25,1315,1399,29.25
2026-03-05,1315,Broad,1535,8,0.00308,83.375,1315,1535,83.375
2026-03-05,1431,Broad,1535,286,0.063485,36.5664,1431,1535,36.5664
2026-03-05,1431,Broad,1427,123,0.027303,1.0894,1431,1427,1.0894
2026-03-05,1431,Broad,1468,53,0.011765,5.434,1431,1468,5.434
2026-03-05,1431,Broad,1386,15,0.00333,27.3333,1431,1386,27.3333
2026-03-05,1432,Broad,1535,296,0.052594,35.7264,1432,1535,35.7264
2026-03-05,1432,Broad,1427,127,0.022566,0.9685,1432,1427,0.9685
2026-03-05,1432,Broad,1468,47,0.008351,4.1489,1432,1468,4.1489
2026-03-05,1432,Broad,1386,24,0.004264,23.7917,1432,1386,23.7917
2026-03-05,32,Broad,1370,5,0.000914,61.0,32,1370,61.0
2026-03-05,32,Broad,1122,3,0.000549,12.0,32,1122,12.0
2026-03-05,32,Broad,1301,3,0.000549,38.0,32,1301,38.0
2026-03-05,32,Broad,1535,3,0.000549,26.6667,32,1535,26.6667
2026-03-05,32,Broad,1427,2,0.000366,15.5,32,1427,15.5
2026-03-05,32,Broad,1195,1,0.000183,13.0,32,1195,13.0
2026-03-05,32,Broad,1123,1,0.000183,36.0,32,1123,36.0
2026-03-05,32,Broad,1394,1,0.000183,86.0,32,1394,86.0
2026-03-05,32,Broad,1112,1,0.000183,41.0,32,1112,41.0
2026-03-05,32,Broad,1360,1,0.000183,5.0,32,1360,5.0
2026-03-05,32,Broad,1266,19,0.003474,47.9474,32,1266,47.9474
2026-03-05,32,Broad,1203,15,0.002743,28.4667,32,1203,28.4667
2026-03-05,32,Broad,1168,15,0.002743,21.6,32,1168,21.6
2026-03-05,32,Broad,1386,10,0.001828,46.5,32,1386,46.5
2026-03-05,608,Broad,1168,74,0.001821,29.7703,608,1168,29.7703
2026-03-05,608,Broad,1427,71,0.001747,24.2254,608,1427,24.2254
2026-03-05,608,Broad,1370,48,0.001181,28.2292,608,1370,28.2292
2026-03-05,608,Broad,1468,24,0.000591,16.0833,608,1468,16.0833
2026-03-05,608,Broad,1535,21,0.000517,48.8095,608,1535,48.8095
2026-03-05,608,Broad,1266,21,0.000517,51.9048,608,1266,51.9048
2026-03-05,608,Broad,1203,7,0.000172,69.5714,608,1203,69.5714
2026-03-05,608,Broad,1406,3,7.4e-05,47.0,608,1406,47.0
2026-03-05,608,Broad,1399,3,7.4e-05,61.6667,608,1399,61.6667
2026-03-05,608,Broad,1236,3,7.4e-05,28.3333,608,1236,28.3333
2026-03-05,608,Broad,1123,3,7.4e-05,22.6667,608,1123,22.6667
2026-03-05,608,Broad,1301,2,4.9e-05,64.5,608,1301,64.5
2026-03-05,608,Broad,1394,2,4.9e-05,49.5,608,1394,49.5
2026-03-05,608,Broad,1360,1,2.5e-05,16.0,608,1360,16.0
2026-03-05,608,Broad,1119,1,2.5e-05,14.0,608,1119,14.0
2026-03-05,608,Broad,1122,1,2.5e-05,6.0,608,1122,6.0
